,Basketball,CC/Track,Other,School,Sport Category
Unknown,1,0,2,Michigan State University,Women
White,4,5,95,Michigan State University,Women
Total,10,8,156,Michigan State University,Women
Am. Ind./AN,0,0,0,Middle Tennessee State University,Women
Asian,0,0,1,Middle Tennessee State University,Women
Black,5,16,6,Middle Tennessee State University,Women
Hispanic,0,1,7,Middle Tennessee State University,Women
Nat. Haw./PI,0,1,0,Middle Tennessee State University,Women
US N-R,0,0,0,Middle Tennessee State University,Women
Two or More,0,3,2,Middle Tennessee State University,Women
Unknown,1,0,1,Middle Tennessee State University,Women
White,9,3,66,Middle Tennessee State University,Women
Total,15,24,83,Middle Tennessee State University,Women
Am. Ind./AN,0,0,3,Mississippi State University,Women
Asian,0,0,1,Mississippi State University,Women
Black,12,12,10,Mississippi State University,Women
Hispanic,0,1,4,Mississippi State University,Women
Nat. Haw./PI,0,0,0,Mississippi State University,Women
US N-R,0,9,14,Mississippi State University,Women
Two or More,1,0,6,Mississippi State University,Women
Unknown,0,0,0,Mississippi State University,Women
White,0,15,50,Mississippi State University,Women
Total,13,37,88,Mississippi State University,Women
Am. Ind./AN,0,0,1,Mississippi Valley State University,Women
Asian,0,0,0,Mississippi Valley State University,Women
Black,10,11,22,Mississippi Valley State University,Women
Hispanic,0,0,7,Mississippi Valley State University,Women
Nat. Haw./PI,0,0,0,Mississippi Valley State University,Women
US N-R,0,0,0,Mississippi Valley State University,Women
Two or More,2,0,4,Mississippi Valley State University,Women
Unknown,1,1,5,Mississippi Valley State University,Women
White,0,0,6,Mississippi Valley State University,Women
Total,13,12,45,Mississippi Valley State University,Women
Am. Ind./AN,0,0,0,Missouri State University,Women
Asian,0,1,2,Missouri State University,Women
Black,5,6,2,Missouri State University,Women
Hispanic,0,0,8,Missouri State University,Women
Nat. Haw./PI,0,0,1,Missouri State University,Women
US N-R,1,0,19,Missouri State University,Women
Two or More,0,2,4,Missouri State University,Women
Unknown,0,0,1,Missouri State University,Women
White,7,20,88,Missouri State University,Women
Total,13,29,125,Missouri State University,Women
Am. Ind./AN,0,0,0,Monmouth University,Women
Asian,0,0,2,Monmouth University,Women
Black,7,2,2,Monmouth University,Women
Hispanic,0,4,7,Monmouth University,Women
Nat. Haw./PI,0,0,0,Monmouth University,Women
US N-R,4,5,20,Monmouth University,Women
Two or More,1,3,9,Monmouth University,Women
Unknown,1,1,3,Monmouth University,Women
White,1,27,96,Monmouth University,Women
Total,14,42,139,Monmouth University,Women
Am. Ind./AN,0,0,0,Montana State University-Bozeman,Women
Asian,0,0,0,Montana State University-Bozeman,Women
Black,0,0,0,Montana State University-Bozeman,Women
Hispanic,1,3,3,Montana State University-Bozeman,Women
Nat. Haw./PI,0,0,1,Montana State University-Bozeman,Women
US N-R,4,2,11,Montana State University-Bozeman,Women
Two or More,1,2,0,Montana State University-Bozeman,Women
Unknown,0,0,0,Montana State University-Bozeman,Women
White,9,32,30,Montana State University-Bozeman,Women
Total,15,39,45,Montana State University-Bozeman,Women
Am. Ind./AN,0,0,0,Morehead State University,Women
Asian,0,0,1,Morehead State University,Women
Black,7,2,4,Morehead State University,Women
Hispanic,1,2,5,Morehead State University,Women
Nat. Haw./PI,0,0,0,Morehead State University,Women
US N-R,5,0,8,Morehead State University,Women
Two or More,1,1,2,Morehead State University,Women
Unknown,0,0,4,Morehead State University,Women
White,1,16,53,Morehead State University,Women
Total,15,21,77,Morehead State University,Women
Am. Ind./AN,0,0,0,Morgan State University,Women
Asian,0,0,0,Morgan State University,Women
Black,9,15,39,Morgan State University,Women
Hispanic,0,1,3,Morgan State University,Women
Nat. Haw./PI,0,0,0,Morgan State University,Women
US N-R,0,0,0,Morgan State University,Women
Two or More,2,3,7,Morgan State University,Women
Unknown,0,1,2,Morgan State University,Women
White,0,0,10,Morgan State University,Women
Total,11,20,61,Morgan State University,Women
Am. Ind./AN,0,0,0,Mount St. Mary's University,Women
Asian,0,0,3,Mount St. Mary's University,Women
Black,3,9,9,Mount St. Mary's University,Women
Hispanic,0,0,14,Mount St. Mary's University,Women
Nat. Haw./PI,0,0,1,Mount St. Mary's University,Women
US N-R,2,1,2,Mount St. Mary's University,Women
Two or More,2,4,7,Mount St. Mary's University,Women
Unknown,0,0,6,Mount St. Mary's University,Women
White,5,20,103,Mount St. Mary's University,Women
Total,12,34,145,Mount St. Mary's University,Women
Am. Ind./AN,0,0,0,Murray State University,Women
Asian,0,1,0,Murray State University,Women
Black,5,10,0,Murray State University,Women
Hispanic,0,3,2,Murray State University,Women
Nat. Haw./PI,0,0,0,Murray State University,Women
US N-R,0,1,3,Murray State University,Women
Two or More,2,1,4,Murray State University,Women
Unknown,1,0,0,Murray State University,Women
White,7,20,63,Murray State University,Women
Total,15,36,72,Murray State University,Women
Am. Ind./AN,0,0,0,New Jersey Institute of Technology,Women
Asian,0,0,1,New Jersey Institute of Technology,Women
Black,3,5,0,New Jersey Institute of Technology,Women
Hispanic,1,3,7,New Jersey Institute of Technology,Women
Nat. Haw./PI,0,0,0,New Jersey Institute of Technology,Women
US N-R,1,2,20,New Jersey Institute of Technology,Women
Two or More,1,2,2,New Jersey Institute of Technology,Women
Unknown,0,0,1,New Jersey Institute of Technology,Women
White,8,4,16,New Jersey Institute of Technology,Women
Total,14,16,47,New Jersey Institute of Technology,Women
Am. Ind./AN,0,0,0,New Mexico State University,Women
Asian,0,1,7,New Mexico State University,Women
Black,8,17,4,New Mexico State University,Women
Hispanic,2,11,31,New Mexico State University,Women
Nat. Haw./PI,0,0,3,New Mexico State University,Women
US N-R,0,0,0,New Mexico State University,Women
Two or More,1,1,13,New Mexico State University,Women
Unknown,1,0,2,New Mexico State University,Women
White,3,5,51,New Mexico State University,Women
Total,15,35,111,New Mexico State University,Women
Am. Ind./AN,0,0,2,Niagara University,Women
Asian,0,0,2,Niagara University,Women
Black,4,0,2,Niagara University,Women
Hispanic,0,1,4,Niagara University,Women
Nat. Haw./PI,0,0,0,Niagara University,Women
US N-R,0,5,28,Niagara University,Women
Two or More,3,0,2,Niagara University,Women
Unknown,1,0,0,Niagara University,Women
White,4,9,84,Niagara University,Women
Total,12,15,124,Niagara University,Women
Am. Ind./AN,0,1,2,Nicholls State University,Women
Asian,0,0,1,Nicholls State University,Women
Black,7,5,3,Nicholls State University,Women
Hispanic,1,1,9,Nicholls State University,Women
Nat. Haw./PI,0,0,0,Nicholls State University,Women
US N-R,3,5,12,Nicholls State University,Women
Two or More,0,0,2,Nicholls State University,Women
Unknown,0,0,2,Nicholls State University,Women
White,4,6,40,Nicholls State University,Women
Total,15,18,71,Nicholls State University,Women
Am. Ind./AN,0,0,0,Norfolk State University,Women
Asian,0,0,0,Norfolk State University,Women
Black,9,7,14,Norfolk State University,Women
Hispanic,0,0,3,Norfolk State University,Women
Nat. Haw./PI,0,0,0,Norfolk State University,Women
US N-R,0,5,3,Norfolk State University,Women
Two or More,0,3,7,Norfolk State University,Women
Unknown,1,0,1,Norfolk State University,Women
White,1,0,6,Norfolk State University,Women
Total,11,15,34,Norfolk State University,Women
Am. Ind./AN,0,0,1,North Carolina A&T State University,Women
Asian,0,0,0,North Carolina A&T State University,Women
Black,10,18,19,North Carolina A&T State University,Women
Hispanic,0,1,3,North Carolina A&T State University,Women
Nat. Haw./PI,0,0,0,North Carolina A&T State University,Women
US N-R,0,0,8,North Carolina A&T State University,Women
Two or More,3,1,5,North Carolina A&T State University,Women
Unknown,0,0,0,North Carolina A&T State University,Women
White,0,0,8,North Carolina A&T State University,Women
Total,13,20,44,North Carolina A&T State University,Women
Am. Ind./AN,0,0,0,North Carolina Central University,Women
Asian,0,0,0,North Carolina Central University,Women
Black,10,12,20,North Carolina Central University,Women
Hispanic,0,2,2,North Carolina Central University,Women
Nat. Haw./PI,0,0,1,North Carolina Central University,Women
US N-R,0,0,6,North Carolina Central University,Women
Two or More,0,1,10,North Carolina Central University,Women
Unknown,2,1,1,North Carolina Central University,Women
White,1,0,3,North Carolina Central University,Women
Total,13,16,43,North Carolina Central University,Women
Am. Ind./AN,0,0,0,North Carolina State University,Women
Asian,0,0,1,North Carolina State University,Women
Black,4,4,13,North Carolina State University,Women
Hispanic,0,1,5,North Carolina State University,Women
Nat. Haw./PI,1,0,0,North Carolina State University,Women
US N-R,0,1,20,North Carolina State University,Women
Two or More,0,2,2,North Carolina State University,Women
Unknown,1,0,2,North Carolina State University,Women
White,2,13,60,North Carolina State University,Women
Total,8,21,103,North Carolina State University,Women
Am. Ind./AN,0,0,0,North Dakota State University,Women
Asian,0,0,0,North Dakota State University,Women
Black,1,6,2,North Dakota State University,Women
Hispanic,0,0,3,North Dakota State University,Women
Nat. Haw./PI,0,0,0,North Dakota State University,Women
US N-R,3,4,2,North Dakota State University,Women
Two or More,0,3,10,North Dakota State University,Women
Unknown,0,0,0,North Dakota State University,Women
White,9,35,48,North Dakota State University,Women
Total,13,48,65,North Dakota State University,Women
Am. Ind./AN,0,0,0,Northeastern University,Women
Asian,0,0,3,Northeastern University,Women
Black,7,6,1,Northeastern University,Women
Hispanic,1,3,8,Northeastern University,Women
Nat. Haw./PI,0,0,0,Northeastern University,Women
US N-R,1,3,15,Northeastern University,Women
Two or More,0,0,7,Northeastern University,Women
Unknown,0,0,2,Northeastern University,Women
White,5,12,89,Northeastern University,Women
Total,14,24,125,Northeastern University,Women
Am. Ind./AN,0,1,0,Northern Arizona University,Women
Asian,0,0,0,Northern Arizona University,Women
Black,1,5,3,Northern Arizona University,Women
Hispanic,3,2,6,Northern Arizona University,Women
Nat. Haw./PI,0,0,0,Northern Arizona University,Women
US N-R,2,5,15,Northern Arizona University,Women
Two or More,0,0,5,Northern Arizona University,Women
Unknown,0,1,3,Northern Arizona University,Women
White,8,17,60,Northern Arizona University,Women
Total,14,31,92,Northern Arizona University,Women
Am. Ind./AN,0,1,0,Northern Illinois University,Women
Asian,0,0,4,Northern Illinois University,Women
Black,2,15,12,Northern Illinois University,Women
Hispanic,0,0,5,Northern Illinois University,Women
Nat. Haw./PI,0,0,0,Northern Illinois University,Women
US N-R,0,0,0,Northern Illinois University,Women
Two or More,0,0,10,Northern Illinois University,Women
Unknown,0,0,1,Northern Illinois University,Women
White,13,11,68,Northern Illinois University,Women
Total,15,27,100,Northern Illinois University,Women
Am. Ind./AN,0,1,0,Northern Kentucky University,Women
Asian,0,0,1,Northern Kentucky University,Women
Black,4,5,4,Northern Kentucky University,Women
Hispanic,0,0,1,Northern Kentucky University,Women
Nat. Haw./PI,0,0,0,Northern Kentucky University,Women
US N-R,0,1,6,Northern Kentucky University,Women
Two or More,1,1,2,Northern Kentucky University,Women
Unknown,0,0,2,Northern Kentucky University,Women
White,8,15,53,Northern Kentucky University,Women
Total,13,23,69,Northern Kentucky University,Women
Am. Ind./AN,0,0,1,Northwestern State University,Women
Asian,0,0,0,Northwestern State University,Women
Black,9,14,6,Northwestern State University,Women
Hispanic,0,0,3,Northwestern State University,Women
Nat. Haw./PI,0,0,0,Northwestern State University,Women
US N-R,4,8,11,Northwestern State University,Women
Two or More,1,2,8,Northwestern State University,Women
Unknown,0,0,0,Northwestern State University,Women
White,1,4,41,Northwestern State University,Women
Total,15,28,70,Northwestern State University,Women
Am. Ind./AN,0,0,0,Northwestern University,Women
Asian,0,1,22,Northwestern University,Women
Black,5,0,7,Northwestern University,Women
Hispanic,0,2,7,Northwestern University,Women
Nat. Haw./PI,0,0,0,Northwestern University,Women
US N-R,3,4,21,Northwestern University,Women
Two or More,1,0,16,Northwestern University,Women
Unknown,0,1,1,Northwestern University,Women
White,3,12,78,Northwestern University,Women
Total,12,20,152,Northwestern University,Women
Am. Ind./AN,0,0,0,Oakland University,Women
Asian,0,0,2,Oakland University,Women
Black,9,5,2,Oakland University,Women
Hispanic,0,0,2,Oakland University,Women
Nat. Haw./PI,0,0,0,Oakland University,Women
US N-R,3,0,25,Oakland University,Women
Two or More,0,0,3,Oakland University,Women
Unknown,0,1,0,Oakland University,Women
White,3,21,62,Oakland University,Women
Total,15,27,96,Oakland University,Women
Am. Ind./AN,0,0,0,Ohio University,Women
Asian,0,0,1,Ohio University,Women
Black,7,8,1,Ohio University,Women
Hispanic,0,0,0,Ohio University,Women
Nat. Haw./PI,0,0,0,Ohio University,Women
US N-R,1,0,10,Ohio University,Women
Two or More,2,3,7,Ohio University,Women
Unknown,0,2,0,Ohio University,Women
White,5,22,96,Ohio University,Women
Total,15,35,115,Ohio University,Women
Am. Ind./AN,1,0,3,Oklahoma State University,Women
Asian,0,0,0,Oklahoma State University,Women
Black,5,4,2,Oklahoma State University,Women
Hispanic,0,4,5,Oklahoma State University,Women
Nat. Haw./PI,0,0,0,Oklahoma State University,Women
US N-R,3,12,13,Oklahoma State University,Women
Two or More,2,4,10,Oklahoma State University,Women
Unknown,0,0,0,Oklahoma State University,Women
White,2,27,82,Oklahoma State University,Women
Total,13,51,115,Oklahoma State University,Women
Am. Ind./AN,0,0,0,Old Dominion University,Women
Asian,0,0,0,Old Dominion University,Women
Black,12,0,2,Old Dominion University,Women
Hispanic,0,0,7,Old Dominion University,Women
Nat. Haw./PI,0,0,0,Old Dominion University,Women
US N-R,3,0,29,Old Dominion University,Women
Two or More,0,0,6,Old Dominion University,Women
Unknown,0,0,3,Old Dominion University,Women
White,0,0,77,Old Dominion University,Women
Total,15,0,124,Old Dominion University,Women
Am. Ind./AN,1,0,2,Oral Roberts University,Women
Asian,0,1,3,Oral Roberts University,Women
Black,4,4,4,Oral Roberts University,Women
Hispanic,0,1,9,Oral Roberts University,Women
Nat. Haw./PI,0,0,0,Oral Roberts University,Women
US N-R,0,0,5,Oral Roberts University,Women
Two or More,2,1,7,Oral Roberts University,Women
Unknown,0,0,2,Oral Roberts University,Women
White,6,5,25,Oral Roberts University,Women
Total,13,12,57,Oral Roberts University,Women
Am. Ind./AN,0,0,0,Oregon State University,Women
Asian,0,0,3,Oregon State University,Women
Black,0,2,4,Oregon State University,Women
Hispanic,0,7,24,Oregon State University,Women
Nat. Haw./PI,0,0,2,Oregon State University,Women
US N-R,3,3,21,Oregon State University,Women
Two or More,3,3,7,Oregon State University,Women
Unknown,0,1,0,Oregon State University,Women
White,5,24,61,Oregon State University,Women
Total,11,40,122,Oregon State University,Women
Am. Ind./AN,0,0,0,Pennsylvania State University,Women
Asian,0,0,1,Pennsylvania State University,Women
Black,4,6,7,Pennsylvania State University,Women
Hispanic,0,0,2,Pennsylvania State University,Women
Nat. Haw./PI,0,0,0,Pennsylvania State University,Women
US N-R,1,3,29,Pennsylvania State University,Women
Two or More,1,2,21,Pennsylvania State University,Women
Unknown,0,0,0,Pennsylvania State University,Women
White,7,24,145,Pennsylvania State University,Women
Total,13,35,205,Pennsylvania State University,Women
Am. Ind./AN,0,0,0,Pepperdine University,Women
Asian,1,0,5,Pepperdine University,Women
Black,5,0,4,Pepperdine University,Women
Hispanic,0,0,2,Pepperdine University,Women
Nat. Haw./PI,0,0,0,Pepperdine University,Women
US N-R,0,0,0,Pepperdine University,Women
Two or More,3,0,4,Pepperdine University,Women
Unknown,0,0,3,Pepperdine University,Women
White,7,3,35,Pepperdine University,Women
Total,16,3,53,Pepperdine University,Women
Am. Ind./AN,0,0,0,Portland State University,Women
Asian,0,0,2,Portland State University,Women
Black,2,0,6,Portland State University,Women
Hispanic,3,0,15,Portland State University,Women
Nat. Haw./PI,1,0,2,Portland State University,Women
US N-R,2,4,8,Portland State University,Women
Two or More,2,1,12,Portland State University,Women
Unknown,0,0,0,Portland State University,Women
White,6,8,32,Portland State University,Women
Total,16,13,77,Portland State University,Women
Am. Ind./AN,0,0,0,Prairie View A&M University,Women
Asian,0,0,1,Prairie View A&M University,Women
Black,13,13,36,Prairie View A&M University,Women
Hispanic,0,2,22,Prairie View A&M University,Women
Nat. Haw./PI,0,0,0,Prairie View A&M University,Women
US N-R,0,0,8,Prairie View A&M University,Women
Two or More,0,1,14,Prairie View A&M University,Women
Unknown,0,1,0,Prairie View A&M University,Women
White,0,0,5,Prairie View A&M University,Women
Total,13,17,86,Prairie View A&M University,Women
Am. Ind./AN,0,0,0,Presbyterian College,Women
Asian,0,0,0,Presbyterian College,Women
Black,2,0,4,Presbyterian College,Women
Hispanic,1,2,9,Presbyterian College,Women
Nat. Haw./PI,0,0,0,Presbyterian College,Women
US N-R,4,0,12,Presbyterian College,Women
Two or More,2,0,2,Presbyterian College,Women
Unknown,0,0,0,Presbyterian College,Women
White,5,4,85,Presbyterian College,Women
Total,14,6,112,Presbyterian College,Women
Am. Ind./AN,0,0,0,Princeton University,Women
Asian,0,0,0,Princeton University,Women
Black,0,0,0,Princeton University,Women
Hispanic,0,0,0,Princeton University,Women
Nat. Haw./PI,0,0,0,Princeton University,Women
US N-R,0,0,0,Princeton University,Women
Two or More,0,0,0,Princeton University,Women
Unknown,0,0,0,Princeton University,Women
White,0,0,0,Princeton University,Women
Total,0,0,0,Princeton University,Women
Am. Ind./AN,0,0,0,Providence College,Women
Asian,1,0,2,Providence College,Women
Black,3,0,4,Providence College,Women
Hispanic,0,0,5,Providence College,Women
Nat. Haw./PI,0,0,0,Providence College,Women
US N-R,2,12,18,Providence College,Women
Two or More,0,0,3,Providence College,Women
Unknown,0,0,2,Providence College,Women
White,9,5,76,Providence College,Women
Total,15,17,110,Providence College,Women
Am. Ind./AN,0,0,0,Purdue University,Women
Asian,0,0,3,Purdue University,Women
Black,3,13,9,Purdue University,Women
Hispanic,2,0,7,Purdue University,Women
Nat. Haw./PI,0,0,0,Purdue University,Women
US N-R,1,5,9,Purdue University,Women
Two or More,1,3,7,Purdue University,Women
Unknown,0,0,1,Purdue University,Women
White,6,5,77,Purdue University,Women
Total,13,26,113,Purdue University,Women
Am. Ind./AN,0,0,0,Purdue University Fort Wayne,Women
Asian,0,0,2,Purdue University Fort Wayne,Women
Black,3,9,1,Purdue University Fort Wayne,Women
Hispanic,0,0,2,Purdue University Fort Wayne,Women
Nat. Haw./PI,0,0,0,Purdue University Fort Wayne,Women
US N-R,2,1,5,Purdue University Fort Wayne,Women
Two or More,0,3,5,Purdue University Fort Wayne,Women
Unknown,0,0,0,Purdue University Fort Wayne,Women
White,7,24,49,Purdue University Fort Wayne,Women
Total,12,37,64,Purdue University Fort Wayne,Women
Am. Ind./AN,0,0,0,Quinnipiac University,Women
Asian,0,0,12,Quinnipiac University,Women
Black,3,5,3,Quinnipiac University,Women
Hispanic,0,0,0,Quinnipiac University,Women
Nat. Haw./PI,0,0,0,Quinnipiac University,Women
US N-R,2,1,17,Quinnipiac University,Women
Two or More,0,0,0,Quinnipiac University,Women
Unknown,0,0,8,Quinnipiac University,Women
White,9,28,108,Quinnipiac University,Women
Total,14,34,148,Quinnipiac University,Women
Am. Ind./AN,0,0,0,Radford University,Women
Asian,0,0,0,Radford University,Women
Black,4,7,0,Radford University,Women
Hispanic,0,0,0,Radford University,Women
Nat. Haw./PI,0,0,0,Radford University,Women
US N-R,1,2,0,Radford University,Women
Two or More,4,1,0,Radford University,Women
Unknown,0,0,0,Radford University,Women
White,5,3,0,Radford University,Women
Total,14,13,0,Radford University,Women
Am. Ind./AN,0,0,0,Rice University,Women
Asian,0,0,3,Rice University,Women
Black,6,4,4,Rice University,Women
Hispanic,0,1,5,Rice University,Women
Nat. Haw./PI,0,0,0,Rice University,Women
US N-R,1,10,13,Rice University,Women
Two or More,1,1,1,Rice University,Women
Unknown,0,0,2,Rice University,Women
White,5,6,30,Rice University,Women
Total,13,22,58,Rice University,Women
Am. Ind./AN,0,0,0,Rider University,Women
Asian,0,0,2,Rider University,Women
Black,4,8,1,Rider University,Women
Hispanic,1,5,9,Rider University,Women
Nat. Haw./PI,0,0,0,Rider University,Women
US N-R,3,1,17,Rider University,Women
Two or More,2,1,14,Rider University,Women
Unknown,0,0,0,Rider University,Women
White,3,25,77,Rider University,Women
Total,13,40,120,Rider University,Women
Am. Ind./AN,0,0,0,Robert Morris University,Women
Asian,0,0,4,Robert Morris University,Women
Black,2,5,2,Robert Morris University,Women
Hispanic,0,1,5,Robert Morris University,Women
Nat. Haw./PI,0,0,0,Robert Morris University,Women
US N-R,8,1,19,Robert Morris University,Women
Two or More,2,4,8,Robert Morris University,Women
Unknown,0,0,0,Robert Morris University,Women
White,1,26,96,Robert Morris University,Women
Total,13,37,134,Robert Morris University,Women
Am. Ind./AN,0,0,0,Rutgers The State University of New Jersey New Brunswick,Women
Asian,0,0,4,Rutgers The State University of New Jersey New Brunswick,Women
Black,5,20,7,Rutgers The State University of New Jersey New Brunswick,Women
Hispanic,1,3,19,Rutgers The State University of New Jersey New Brunswick,Women
Nat. Haw./PI,0,0,1,Rutgers The State University of New Jersey New Brunswick,Women
US N-R,1,0,55,Rutgers The State University of New Jersey New Brunswick,Women
Two or More,1,3,10,Rutgers The State University of New Jersey New Brunswick,Women
Unknown,1,0,1,Rutgers The State University of New Jersey New Brunswick,Women
White,2,12,137,Rutgers The State University of New Jersey New Brunswick,Women
Total,11,38,234,Rutgers The State University of New Jersey New Brunswick,Women
Am. Ind./AN,0,0,0,Sacred Heart University,Women
Asian,0,0,3,Sacred Heart University,Women
Black,4,3,3,Sacred Heart University,Women
Hispanic,0,4,25,Sacred Heart University,Women
Nat. Haw./PI,0,0,0,Sacred Heart University,Women
US N-R,0,0,14,Sacred Heart University,Women
Two or More,2,3,15,Sacred Heart University,Women
Unknown,0,0,0,Sacred Heart University,Women
White,4,31,218,Sacred Heart University,Women
Total,10,41,278,Sacred Heart University,Women
Am. Ind./AN,0,1,0,Saint Francis University,Women
Asian,0,0,4,Saint Francis University,Women
Black,4,1,4,Saint Francis University,Women
Hispanic,1,0,6,Saint Francis University,Women
Nat. Haw./PI,0,0,0,Saint Francis University,Women
US N-R,0,0,0,Saint Francis University,Women
Two or More,5,4,10,Saint Francis University,Women
Unknown,0,1,26,Saint Francis University,Women
White,4,41,145,Saint Francis University,Women
Total,14,48,195,Saint Francis University,Women
Am. Ind./AN,0,0,0,Saint Joseph's University,Women
Asian,0,1,2,Saint Joseph's University,Women
Black,1,4,3,Saint Joseph's University,Women
Hispanic,0,3,7,Saint Joseph's University,Women
Nat. Haw./PI,0,0,1,Saint Joseph's University,Women
US N-R,5,2,10,Saint Joseph's University,Women
Two or More,0,3,4,Saint Joseph's University,Women
Unknown,0,0,1,Saint Joseph's University,Women
White,4,15,89,Saint Joseph's University,Women
Total,10,28,117,Saint Joseph's University,Women
Am. Ind./AN,0,0,1,Saint Louis University,Women
Asian,0,0,5,Saint Louis University,Women
Black,8,0,3,Saint Louis University,Women
Hispanic,0,0,2,Saint Louis University,Women
Nat. Haw./PI,0,0,0,Saint Louis University,Women
US N-R,0,0,1,Saint Louis University,Women
Two or More,2,3,3,Saint Louis University,Women
Unknown,0,1,2,Saint Louis University,Women
White,3,17,78,Saint Louis University,Women
Total,13,21,95,Saint Louis University,Women
Am. Ind./AN,0,0,1,Saint Mary's College of California,Women
Asian,0,0,3,Saint Mary's College of California,Women
Black,0,0,1,Saint Mary's College of California,Women
Hispanic,0,1,22,Saint Mary's College of California,Women
Nat. Haw./PI,1,0,0,Saint Mary's College of California,Women
US N-R,7,5,13,Saint Mary's College of California,Women
Two or More,3,0,11,Saint Mary's College of California,Women
Unknown,0,0,0,Saint Mary's College of California,Women
White,4,11,66,Saint Mary's College of California,Women
Total,15,17,117,Saint Mary's College of California,Women
Am. Ind./AN,0,0,0,Saint Peter's University,Women
Asian,0,0,0,Saint Peter's University,Women
Black,4,3,0,Saint Peter's University,Women
Hispanic,2,12,0,Saint Peter's University,Women
Nat. Haw./PI,0,0,0,Saint Peter's University,Women
US N-R,6,11,0,Saint Peter's University,Women
Two or More,0,0,0,Saint Peter's University,Women
Unknown,1,0,0,Saint Peter's University,Women
White,2,34,0,Saint Peter's University,Women
Total,15,60,0,Saint Peter's University,Women
Am. Ind./AN,0,0,0,Sam Houston State University,Women
Asian,0,0,2,Sam Houston State University,Women
Black,8,17,8,Sam Houston State University,Women
Hispanic,0,8,8,Sam Houston State University,Women
Nat. Haw./PI,0,0,0,Sam Houston State University,Women
US N-R,2,0,15,Sam Houston State University,Women
Two or More,2,2,9,Sam Houston State University,Women
Unknown,0,0,0,Sam Houston State University,Women
White,1,11,43,Sam Houston State University,Women
Total,13,38,85,Sam Houston State University,Women
Am. Ind./AN,0,0,1,Samford University,Women
Asian,0,0,0,Samford University,Women
Black,3,9,1,Samford University,Women
Hispanic,0,1,2,Samford University,Women
Nat. Haw./PI,0,0,0,Samford University,Women
US N-R,0,1,0,Samford University,Women
Two or More,2,3,2,Samford University,Women
Unknown,1,0,1,Samford University,Women
White,4,22,61,Samford University,Women
Total,10,36,68,Samford University,Women
Am. Ind./AN,0,0,0,San Diego State University,Women
Asian,0,0,7,San Diego State University,Women
Black,4,8,4,San Diego State University,Women
Hispanic,3,3,13,San Diego State University,Women
Nat. Haw./PI,1,0,4,San Diego State University,Women
US N-R,0,6,27,San Diego State University,Women
Two or More,2,2,13,San Diego State University,Women
Unknown,0,0,4,San Diego State University,Women
White,3,12,81,San Diego State University,Women
Total,13,31,153,San Diego State University,Women
Am. Ind./AN,0,0,0,San Jose State University,Women
Asian,1,1,7,San Jose State University,Women
Black,8,17,9,San Jose State University,Women
Hispanic,0,2,12,San Jose State University,Women
Nat. Haw./PI,1,0,5,San Jose State University,Women
US N-R,2,1,16,San Jose State University,Women
Two or More,2,6,17,San Jose State University,Women
Unknown,0,0,1,San Jose State University,Women
White,1,5,66,San Jose State University,Women
Total,15,32,133,San Jose State University,Women
Am. Ind./AN,0,0,0,Santa Clara University,Women
Asian,0,1,9,Santa Clara University,Women
Black,0,1,3,Santa Clara University,Women
Hispanic,0,1,11,Santa Clara University,Women
Nat. Haw./PI,1,0,0,Santa Clara University,Women
US N-R,7,0,13,Santa Clara University,Women
Two or More,1,2,10,Santa Clara University,Women
Unknown,0,0,1,Santa Clara University,Women
White,4,4,33,Santa Clara University,Women
Total,13,9,80,Santa Clara University,Women
Am. Ind./AN,0,0,0,Seattle University,Women
Asian,0,0,7,Seattle University,Women
Black,1,1,2,Seattle University,Women
Hispanic,1,0,7,Seattle University,Women
Nat. Haw./PI,0,0,1,Seattle University,Women
US N-R,2,1,9,Seattle University,Women
Two or More,1,8,40,Seattle University,Women
Unknown,0,0,20,Seattle University,Women
White,6,4,30,Seattle University,Women
Total,11,14,116,Seattle University,Women
Am. Ind./AN,0,0,0,Seton Hall University,Women
Asian,0,0,0,Seton Hall University,Women
Black,6,0,2,Seton Hall University,Women
Hispanic,0,0,2,Seton Hall University,Women
Nat. Haw./PI,0,0,0,Seton Hall University,Women
US N-R,0,0,24,Seton Hall University,Women
Two or More,2,3,6,Seton Hall University,Women
Unknown,0,0,1,Seton Hall University,Women
White,1,8,57,Seton Hall University,Women
Total,9,11,92,Seton Hall University,Women
Am. Ind./AN,0,0,0,Siena College,Women
Asian,0,0,0,Siena College,Women
Black,5,0,1,Siena College,Women
Hispanic,0,0,0,Siena College,Women
Nat. Haw./PI,0,0,0,Siena College,Women
US N-R,5,0,13,Siena College,Women
Two or More,1,0,14,Siena College,Women
Unknown,0,0,0,Siena College,Women
White,4,14,114,Siena College,Women
Total,15,14,142,Siena College,Women
Am. Ind./AN,0,0,0,South Carolina State University,Women
Asian,0,0,0,South Carolina State University,Women
Black,10,23,27,South Carolina State University,Women
Hispanic,1,0,2,South Carolina State University,Women
Nat. Haw./PI,0,0,1,South Carolina State University,Women
US N-R,0,0,0,South Carolina State University,Women
Two or More,1,0,4,South Carolina State University,Women
Unknown,0,2,8,South Carolina State University,Women
White,1,1,12,South Carolina State University,Women
Total,13,26,54,South Carolina State University,Women
Am. Ind./AN,0,1,0,South Dakota State University,Women
Asian,0,0,3,South Dakota State University,Women
Black,0,1,0,South Dakota State University,Women
Hispanic,0,2,4,South Dakota State University,Women
