,Basketball,CC/Track,Other,School
Am. Ind./AN,0,0,0,Northeastern University
Asian,0,0,2,Northeastern University
Black,7,5,0,Northeastern University
Hispanic,0,1,6,Northeastern University
Nat. Haw./PI,0,0,0,Northeastern University
N-R Alien,2,2,20,Northeastern University
Two or More,1,1,4,Northeastern University
Unknown,1,0,15,Northeastern University
White,0,13,86,Northeastern University
Total,11,22,133,Northeastern University
Am. Ind./AN,1,1,1,Northern Arizona University
Asian,0,0,1,Northern Arizona University
Black,5,4,0,Northern Arizona University
Hispanic,1,3,9,Northern Arizona University
Nat. Haw./PI,0,0,0,Northern Arizona University
N-R Alien,1,5,10,Northern Arizona University
Two or More,6,2,9,Northern Arizona University
Unknown,0,1,0,Northern Arizona University
White,3,14,58,Northern Arizona University
Total,17,30,88,Northern Arizona University
Am. Ind./AN,0,0,0,Northern Illinois University
Asian,0,0,0,Northern Illinois University
Black,8,13,2,Northern Illinois University
Hispanic,1,1,5,Northern Illinois University
Nat. Haw./PI,0,0,1,Northern Illinois University
N-R Alien,0,0,0,Northern Illinois University
Two or More,0,2,11,Northern Illinois University
Unknown,0,0,2,Northern Illinois University
White,6,19,72,Northern Illinois University
Total,15,35,93,Northern Illinois University
Am. Ind./AN,0,0,0,Northern Kentucky University
Asian,0,0,0,Northern Kentucky University
Black,3,6,0,Northern Kentucky University
Hispanic,0,3,2,Northern Kentucky University
Nat. Haw./PI,0,0,0,Northern Kentucky University
N-R Alien,1,0,2,Northern Kentucky University
Two or More,0,1,3,Northern Kentucky University
Unknown,1,1,0,Northern Kentucky University
White,12,22,68,Northern Kentucky University
Total,17,33,75,Northern Kentucky University
Am. Ind./AN,0,0,2,Northwestern State University
Asian,0,0,3,Northwestern State University
Black,10,19,0,Northwestern State University
Hispanic,1,0,5,Northwestern State University
Nat. Haw./PI,0,0,0,Northwestern State University
N-R Alien,0,0,18,Northwestern State University
Two or More,0,0,2,Northwestern State University
Unknown,0,0,0,Northwestern State University
White,5,6,43,Northwestern State University
Total,16,25,73,Northwestern State University
Am. Ind./AN,0,0,0,Northwestern University
Asian,0,0,11,Northwestern University
Black,6,0,5,Northwestern University
Hispanic,0,1,9,Northwestern University
Nat. Haw./PI,0,0,0,Northwestern University
N-R Alien,2,0,11,Northwestern University
Two or More,0,1,6,Northwestern University
Unknown,0,0,5,Northwestern University
White,7,17,124,Northwestern University
Total,15,19,171,Northwestern University
Am. Ind./AN,0,0,0,Oakland University
Asian,0,0,1,Oakland University
Black,5,1,0,Oakland University
Hispanic,1,0,3,Oakland University
Nat. Haw./PI,0,0,0,Oakland University
N-R Alien,1,0,24,Oakland University
Two or More,0,0,0,Oakland University
Unknown,0,0,2,Oakland University
White,3,21,57,Oakland University
Total,10,22,87,Oakland University
Am. Ind./AN,1,0,2,Ohio University
Asian,0,0,1,Ohio University
Black,5,6,1,Ohio University
Hispanic,0,0,3,Ohio University
Nat. Haw./PI,0,0,0,Ohio University
N-R Alien,0,0,9,Ohio University
Two or More,1,1,3,Ohio University
Unknown,1,0,1,Ohio University
White,8,32,87,Ohio University
Total,16,39,107,Ohio University
Am. Ind./AN,1,0,6,Oklahoma State University
Asian,0,0,2,Oklahoma State University
Black,8,1,6,Oklahoma State University
Hispanic,0,4,6,Oklahoma State University
Nat. Haw./PI,0,0,0,Oklahoma State University
N-R Alien,0,11,8,Oklahoma State University
Two or More,3,3,3,Oklahoma State University
Unknown,0,0,0,Oklahoma State University
White,3,15,61,Oklahoma State University
Total,15,34,92,Oklahoma State University
Am. Ind./AN,0,0,2,Old Dominion University
Asian,0,0,0,Old Dominion University
Black,12,0,9,Old Dominion University
Hispanic,0,0,1,Old Dominion University
Nat. Haw./PI,0,0,2,Old Dominion University
N-R Alien,3,0,30,Old Dominion University
Two or More,0,0,0,Old Dominion University
Unknown,0,0,7,Old Dominion University
White,0,0,87,Old Dominion University
Total,15,0,138,Old Dominion University
Am. Ind./AN,0,0,0,Oral Roberts University
Asian,0,1,1,Oral Roberts University
Black,5,8,2,Oral Roberts University
Hispanic,0,2,0,Oral Roberts University
Nat. Haw./PI,1,0,1,Oral Roberts University
N-R Alien,4,1,14,Oral Roberts University
Two or More,0,2,1,Oral Roberts University
Unknown,0,0,0,Oral Roberts University
White,5,6,38,Oral Roberts University
Total,15,20,57,Oral Roberts University
Am. Ind./AN,0,0,0,Oregon State University
Asian,0,0,0,Oregon State University
Black,0,0,0,Oregon State University
Hispanic,0,0,0,Oregon State University
Nat. Haw./PI,0,0,0,Oregon State University
N-R Alien,0,0,0,Oregon State University
Two or More,0,0,0,Oregon State University
Unknown,0,0,0,Oregon State University
White,0,0,0,Oregon State University
Total,0,0,0,Oregon State University
Am. Ind./AN,0,0,2,Pennsylvania State University
Asian,0,0,5,Pennsylvania State University
Black,9,13,9,Pennsylvania State University
Hispanic,2,0,11,Pennsylvania State University
Nat. Haw./PI,0,0,1,Pennsylvania State University
N-R Alien,0,2,19,Pennsylvania State University
Two or More,0,0,0,Pennsylvania State University
Unknown,1,0,2,Pennsylvania State University
White,3,18,137,Pennsylvania State University
Total,15,33,186,Pennsylvania State University
Am. Ind./AN,0,0,1,Pepperdine University
Asian,0,0,10,Pepperdine University
Black,8,0,3,Pepperdine University
Hispanic,0,1,3,Pepperdine University
Nat. Haw./PI,0,0,0,Pepperdine University
N-R Alien,0,0,0,Pepperdine University
Two or More,0,0,0,Pepperdine University
Unknown,3,1,7,Pepperdine University
White,3,6,28,Pepperdine University
Total,14,8,52,Pepperdine University
Am. Ind./AN,0,0,0,Portland State University
Asian,0,0,0,Portland State University
Black,1,7,0,Portland State University
Hispanic,0,0,2,Portland State University
Nat. Haw./PI,0,0,0,Portland State University
N-R Alien,1,0,2,Portland State University
Two or More,0,0,1,Portland State University
Unknown,0,0,0,Portland State University
White,2,4,11,Portland State University
Total,4,11,16,Portland State University
Am. Ind./AN,0,0,1,Prairie View A&M University
Asian,0,1,2,Prairie View A&M University
Black,13,43,50,Prairie View A&M University
Hispanic,0,2,21,Prairie View A&M University
Nat. Haw./PI,0,0,0,Prairie View A&M University
N-R Alien,0,0,1,Prairie View A&M University
Two or More,0,1,10,Prairie View A&M University
Unknown,1,2,0,Prairie View A&M University
White,0,0,9,Prairie View A&M University
Total,14,49,94,Prairie View A&M University
Am. Ind./AN,0,0,0,Presbyterian College
Asian,0,0,2,Presbyterian College
Black,5,0,3,Presbyterian College
Hispanic,0,0,1,Presbyterian College
Nat. Haw./PI,0,0,0,Presbyterian College
N-R Alien,0,0,2,Presbyterian College
Two or More,0,0,0,Presbyterian College
Unknown,0,0,1,Presbyterian College
White,7,5,64,Presbyterian College
Total,12,5,73,Presbyterian College
Am. Ind./AN,0,0,0,Princeton University
Asian,0,0,0,Princeton University
Black,0,0,0,Princeton University
Hispanic,0,0,0,Princeton University
Nat. Haw./PI,0,0,0,Princeton University
N-R Alien,0,0,0,Princeton University
Two or More,0,0,0,Princeton University
Unknown,0,0,0,Princeton University
White,0,0,0,Princeton University
Total,0,0,0,Princeton University
Am. Ind./AN,0,0,1,Providence College
Asian,0,0,2,Providence College
Black,9,1,4,Providence College
Hispanic,1,0,7,Providence College
Nat. Haw./PI,0,0,0,Providence College
N-R Alien,1,4,1,Providence College
Two or More,1,0,1,Providence College
Unknown,0,1,0,Providence College
White,1,27,134,Providence College
Total,13,33,150,Providence College
Am. Ind./AN,0,0,0,Purdue University
Asian,0,0,4,Purdue University
Black,9,10,9,Purdue University
Hispanic,1,0,6,Purdue University
Nat. Haw./PI,0,0,2,Purdue University
N-R Alien,0,5,11,Purdue University
Two or More,0,2,4,Purdue University
Unknown,0,0,1,Purdue University
White,3,17,65,Purdue University
Total,13,34,102,Purdue University
Am. Ind./AN,0,0,0,Purdue University Fort Wayne
Asian,0,0,0,Purdue University Fort Wayne
Black,0,0,1,Purdue University Fort Wayne
Hispanic,0,0,2,Purdue University Fort Wayne
Nat. Haw./PI,0,0,0,Purdue University Fort Wayne
N-R Alien,0,0,16,Purdue University Fort Wayne
Two or More,1,1,2,Purdue University Fort Wayne
Unknown,0,0,0,Purdue University Fort Wayne
White,13,25,45,Purdue University Fort Wayne
Total,14,26,66,Purdue University Fort Wayne
Am. Ind./AN,0,1,2,Quinnipiac University
Asian,0,0,2,Quinnipiac University
Black,5,3,1,Quinnipiac University
Hispanic,2,0,5,Quinnipiac University
Nat. Haw./PI,0,0,1,Quinnipiac University
N-R Alien,0,0,19,Quinnipiac University
Two or More,0,0,0,Quinnipiac University
Unknown,0,3,3,Quinnipiac University
White,9,22,145,Quinnipiac University
Total,16,29,178,Quinnipiac University
Am. Ind./AN,1,1,0,Radford University
Asian,0,0,0,Radford University
Black,10,10,4,Radford University
Hispanic,0,0,1,Radford University
Nat. Haw./PI,0,0,0,Radford University
N-R Alien,0,0,6,Radford University
Two or More,0,3,3,Radford University
Unknown,0,1,0,Radford University
White,0,10,78,Radford University
Total,11,25,92,Radford University
Am. Ind./AN,0,0,0,Rice University
Asian,0,0,4,Rice University
Black,6,6,2,Rice University
Hispanic,0,0,4,Rice University
Nat. Haw./PI,0,0,0,Rice University
N-R Alien,0,4,8,Rice University
Two or More,4,2,2,Rice University
Unknown,0,0,4,Rice University
White,3,10,37,Rice University
Total,13,22,61,Rice University
Am. Ind./AN,0,0,0,Rider University
Asian,0,0,1,Rider University
Black,7,4,1,Rider University
Hispanic,0,1,4,Rider University
Nat. Haw./PI,0,0,0,Rider University
N-R Alien,2,1,9,Rider University
Two or More,1,0,2,Rider University
Unknown,0,0,1,Rider University
White,4,13,63,Rider University
Total,14,19,81,Rider University
Am. Ind./AN,0,0,1,Robert Morris University
Asian,0,0,2,Robert Morris University
Black,3,1,1,Robert Morris University
Hispanic,1,0,1,Robert Morris University
Nat. Haw./PI,0,0,1,Robert Morris University
N-R Alien,4,2,38,Robert Morris University
Two or More,0,0,1,Robert Morris University
Unknown,1,0,6,Robert Morris University
White,4,24,101,Robert Morris University
Total,13,27,152,Robert Morris University
Am. Ind./AN,0,0,0,Rochester Institute of Technology
Asian,0,0,0,Rochester Institute of Technology
Black,0,0,0,Rochester Institute of Technology
Hispanic,0,0,0,Rochester Institute of Technology
Nat. Haw./PI,0,0,0,Rochester Institute of Technology
N-R Alien,0,0,0,Rochester Institute of Technology
Two or More,0,0,0,Rochester Institute of Technology
Unknown,0,0,0,Rochester Institute of Technology
White,0,0,0,Rochester Institute of Technology
Total,0,0,0,Rochester Institute of Technology
Am. Ind./AN,0,0,0,Rutgers The State University of New Jersey New Brunswick
Asian,0,1,4,Rutgers The State University of New Jersey New Brunswick
Black,9,15,6,Rutgers The State University of New Jersey New Brunswick
Hispanic,0,4,6,Rutgers The State University of New Jersey New Brunswick
Nat. Haw./PI,0,0,0,Rutgers The State University of New Jersey New Brunswick
N-R Alien,0,0,13,Rutgers The State University of New Jersey New Brunswick
Two or More,0,2,6,Rutgers The State University of New Jersey New Brunswick
Unknown,0,0,5,Rutgers The State University of New Jersey New Brunswick
White,1,10,131,Rutgers The State University of New Jersey New Brunswick
Total,10,32,171,Rutgers The State University of New Jersey New Brunswick
Am. Ind./AN,0,0,2,Sacred Heart University
Asian,0,1,3,Sacred Heart University
Black,6,7,3,Sacred Heart University
Hispanic,0,2,11,Sacred Heart University
Nat. Haw./PI,0,0,0,Sacred Heart University
N-R Alien,0,0,1,Sacred Heart University
Two or More,0,0,0,Sacred Heart University
Unknown,0,1,3,Sacred Heart University
White,8,58,238,Sacred Heart University
Total,14,69,261,Sacred Heart University
Am. Ind./AN,0,0,0,Saint Francis University
Asian,0,0,0,Saint Francis University
Black,4,7,1,Saint Francis University
Hispanic,0,0,1,Saint Francis University
Nat. Haw./PI,0,0,0,Saint Francis University
N-R Alien,0,1,14,Saint Francis University
Two or More,0,1,1,Saint Francis University
Unknown,3,1,10,Saint Francis University
White,7,10,108,Saint Francis University
Total,14,20,135,Saint Francis University
Am. Ind./AN,0,0,0,Saint Joseph's University
Asian,0,0,3,Saint Joseph's University
Black,2,4,2,Saint Joseph's University
Hispanic,1,2,2,Saint Joseph's University
Nat. Haw./PI,0,0,0,Saint Joseph's University
N-R Alien,2,0,4,Saint Joseph's University
Two or More,1,1,0,Saint Joseph's University
Unknown,0,0,2,Saint Joseph's University
White,5,16,86,Saint Joseph's University
Total,11,23,99,Saint Joseph's University
Am. Ind./AN,0,0,1,Saint Louis University
Asian,0,0,0,Saint Louis University
Black,5,1,3,Saint Louis University
Hispanic,0,0,4,Saint Louis University
Nat. Haw./PI,0,0,2,Saint Louis University
N-R Alien,0,0,0,Saint Louis University
Two or More,0,0,2,Saint Louis University
Unknown,0,0,1,Saint Louis University
White,7,15,86,Saint Louis University
Total,12,16,99,Saint Louis University
Am. Ind./AN,0,0,2,Saint Mary's College of California
Asian,0,1,11,Saint Mary's College of California
Black,4,0,5,Saint Mary's College of California
Hispanic,0,1,14,Saint Mary's College of California
Nat. Haw./PI,0,0,0,Saint Mary's College of California
N-R Alien,3,0,8,Saint Mary's College of California
Two or More,0,0,1,Saint Mary's College of California
Unknown,1,0,9,Saint Mary's College of California
White,7,5,56,Saint Mary's College of California
Total,15,7,106,Saint Mary's College of California
Am. Ind./AN,0,0,0,Saint Peter's University
Asian,0,0,3,Saint Peter's University
Black,8,10,1,Saint Peter's University
Hispanic,2,1,7,Saint Peter's University
Nat. Haw./PI,0,0,0,Saint Peter's University
N-R Alien,1,1,1,Saint Peter's University
Two or More,0,0,0,Saint Peter's University
Unknown,0,0,0,Saint Peter's University
White,2,10,52,Saint Peter's University
Total,13,22,64,Saint Peter's University
Am. Ind./AN,0,0,0,Sam Houston State University
Asian,0,0,0,Sam Houston State University
Black,9,18,4,Sam Houston State University
Hispanic,0,4,8,Sam Houston State University
Nat. Haw./PI,0,0,0,Sam Houston State University
N-R Alien,0,1,8,Sam Houston State University
Two or More,0,0,1,Sam Houston State University
Unknown,0,0,0,Sam Houston State University
White,5,11,54,Sam Houston State University
Total,14,34,75,Sam Houston State University
Am. Ind./AN,0,0,0,Samford University
Asian,0,0,0,Samford University
Black,2,2,4,Samford University
Hispanic,1,2,1,Samford University
Nat. Haw./PI,0,0,0,Samford University
N-R Alien,0,1,6,Samford University
Two or More,0,1,0,Samford University
Unknown,0,0,0,Samford University
White,11,17,49,Samford University
Total,14,23,60,Samford University
Am. Ind./AN,0,0,0,San Diego State University
Asian,0,0,9,San Diego State University
Black,11,8,5,San Diego State University
Hispanic,0,1,17,San Diego State University
Nat. Haw./PI,0,0,6,San Diego State University
N-R Alien,0,6,16,San Diego State University
Two or More,0,1,19,San Diego State University
Unknown,0,0,3,San Diego State University
White,1,16,140,San Diego State University
Total,12,32,215,San Diego State University
Am. Ind./AN,0,0,0,San Jose State University
Asian,0,2,4,San Jose State University
Black,7,0,0,San Jose State University
Hispanic,0,3,11,San Jose State University
Nat. Haw./PI,0,0,2,San Jose State University
N-R Alien,1,0,17,San Jose State University
Two or More,4,5,18,San Jose State University
Unknown,0,0,0,San Jose State University
White,1,4,70,San Jose State University
Total,13,14,122,San Jose State University
Am. Ind./AN,0,0,0,Santa Clara University
Asian,0,0,4,Santa Clara University
Black,1,0,0,Santa Clara University
Hispanic,0,0,11,Santa Clara University
Nat. Haw./PI,1,0,1,Santa Clara University
N-R Alien,0,0,3,Santa Clara University
Two or More,1,0,5,Santa Clara University
Unknown,0,0,2,Santa Clara University
White,10,6,54,Santa Clara University
Total,13,6,80,Santa Clara University
Am. Ind./AN,1,0,0,Savannah State University
Asian,0,0,0,Savannah State University
Black,12,14,27,Savannah State University
Hispanic,0,0,3,Savannah State University
Nat. Haw./PI,0,0,1,Savannah State University
N-R Alien,0,0,2,Savannah State University
Two or More,0,0,8,Savannah State University
Unknown,0,0,1,Savannah State University
White,0,0,11,Savannah State University
Total,13,14,53,Savannah State University
Am. Ind./AN,0,0,0,Seattle University
Asian,0,3,10,Seattle University
Black,6,0,0,Seattle University
Hispanic,2,0,11,Seattle University
Nat. Haw./PI,0,0,0,Seattle University
N-R Alien,0,0,3,Seattle University
Two or More,0,0,2,Seattle University
Unknown,2,1,0,Seattle University
White,4,13,58,Seattle University
Total,14,17,84,Seattle University
Am. Ind./AN,0,0,1,Seton Hall University
Asian,0,0,0,Seton Hall University
Black,11,1,4,Seton Hall University
Hispanic,0,0,1,Seton Hall University
Nat. Haw./PI,0,0,0,Seton Hall University
N-R Alien,1,1,1,Seton Hall University
Two or More,0,1,1,Seton Hall University
Unknown,2,0,4,Seton Hall University
White,2,4,68,Seton Hall University
Total,16,7,80,Seton Hall University
Am. Ind./AN,0,0,1,Siena College
Asian,0,0,4,Siena College
Black,7,0,5,Siena College
Hispanic,0,0,9,Siena College
Nat. Haw./PI,0,0,1,Siena College
N-R Alien,3,0,2,Siena College
Two or More,1,0,5,Siena College
Unknown,0,0,0,Siena College
White,4,7,106,Siena College
Total,15,7,133,Siena College
Am. Ind./AN,0,0,0,South Carolina State University
Asian,0,0,3,South Carolina State University
Black,11,16,30,South Carolina State University
Hispanic,0,0,4,South Carolina State University
Nat. Haw./PI,0,0,0,South Carolina State University
N-R Alien,0,0,1,South Carolina State University
Two or More,0,0,0,South Carolina State University
Unknown,0,1,3,South Carolina State University
White,1,1,11,South Carolina State University
Total,12,18,52,South Carolina State University
Am. Ind./AN,0,0,0,South Dakota State University
Asian,0,0,0,South Dakota State University
Black,0,1,2,South Dakota State University
Hispanic,0,0,2,South Dakota State University
Nat. Haw./PI,0,0,1,South Dakota State University
N-R Alien,0,0,0,South Dakota State University
Two or More,0,0,7,South Dakota State University
Unknown,0,0,6,South Dakota State University
White,15,55,121,South Dakota State University
Total,15,56,139,South Dakota State University
Am. Ind./AN,0,0,0,Southeast Missouri State University
Asian,0,0,0,Southeast Missouri State University
Black,6,10,3,Southeast Missouri State University
Hispanic,1,2,1,Southeast Missouri State University
Nat. Haw./PI,0,1,0,Southeast Missouri State University
N-R Alien,1,1,9,Southeast Missouri State University
Two or More,0,0,0,Southeast Missouri State University
Unknown,0,0,0,Southeast Missouri State University
White,8,17,59,Southeast Missouri State University
Total,16,31,72,Southeast Missouri State University
Am. Ind./AN,0,1,1,Southeastern Louisiana University
Asian,0,0,0,Southeastern Louisiana University
Black,9,16,1,Southeastern Louisiana University
Hispanic,2,4,8,Southeastern Louisiana University
Nat. Haw./PI,2,0,0,Southeastern Louisiana University
N-R Alien,0,1,11,Southeastern Louisiana University
Two or More,0,3,4,Southeastern Louisiana University
Unknown,0,0,1,Southeastern Louisiana University
White,1,16,41,Southeastern Louisiana University
Total,14,41,67,Southeastern Louisiana University
Am. Ind./AN,0,0,0,Southern Illinois University Edwardsville
Asian,0,0,0,Southern Illinois University Edwardsville
Black,8,9,4,Southern Illinois University Edwardsville
Hispanic,2,0,3,Southern Illinois University Edwardsville
Nat. Haw./PI,0,0,0,Southern Illinois University Edwardsville
N-R Alien,0,0,2,Southern Illinois University Edwardsville
Two or More,1,1,3,Southern Illinois University Edwardsville
Unknown,0,0,1,Southern Illinois University Edwardsville
White,3,6,58,Southern Illinois University Edwardsville
Total,14,16,71,Southern Illinois University Edwardsville
Am. Ind./AN,0,0,1,Southern Illinois University at Carbondale
Asian,0,0,2,Southern Illinois University at Carbondale
Black,11,12,5,Southern Illinois University at Carbondale
Hispanic,0,2,2,Southern Illinois University at Carbondale
Nat. Haw./PI,0,0,0,Southern Illinois University at Carbondale
N-R Alien,0,2,21,Southern Illinois University at Carbondale
Two or More,0,0,1,Southern Illinois University at Carbondale
Unknown,0,0,0,Southern Illinois University at Carbondale
White,3,15,44,Southern Illinois University at Carbondale
Total,14,31,76,Southern Illinois University at Carbondale
Am. Ind./AN,0,0,0,Southern Methodist University
Asian,0,0,1,Southern Methodist University
Black,9,4,2,Southern Methodist University
Hispanic,0,0,5,Southern Methodist University
Nat. Haw./PI,0,0,0,Southern Methodist University
N-R Alien,0,8,20,Southern Methodist University
Two or More,0,0,2,Southern Methodist University
Unknown,0,0,0,Southern Methodist University
White,3,1,59,Southern Methodist University
Total,12,13,89,Southern Methodist University
Am. Ind./AN,0,0,0,Southern University Baton Rouge
Asian,0,0,0,Southern University Baton Rouge
Black,15,37,38,Southern University Baton Rouge
Hispanic,0,2,13,Southern University Baton Rouge
Nat. Haw./PI,0,0,0,Southern University Baton Rouge
N-R Alien,0,1,8,Southern University Baton Rouge
Two or More,0,0,0,Southern University Baton Rouge
Unknown,0,0,1,Southern University Baton Rouge
White,0,0,8,Southern University Baton Rouge
Total,15,40,68,Southern University Baton Rouge
Am. Ind./AN,0,1,0,Southern Utah University
Asian,0,0,2,Southern Utah University
Black,2,2,2,Southern Utah University
Hispanic,0,3,6,Southern Utah University
Nat. Haw./PI,0,1,2,Southern Utah University
N-R Alien,1,0,8,Southern Utah University
Two or More,1,0,5,Southern Utah University
Unknown,0,1,1,Southern Utah University
White,9,32,64,Southern Utah University
Total,13,40,90,Southern Utah University
Am. Ind./AN,0,0,0,St. Bonaventure University
Asian,0,0,0,St. Bonaventure University
Black,3,0,0,St. Bonaventure University
Hispanic,0,1,6,St. Bonaventure University
Nat. Haw./PI,0,0,0,St. Bonaventure University
N-R Alien,0,0,6,St. Bonaventure University
Two or More,1,0,2,St. Bonaventure University
Unknown,0,1,6,St. Bonaventure University
White,7,8,57,St. Bonaventure University
Total,11,10,77,St. Bonaventure University
Am. Ind./AN,0,0,0,St. Francis College Brooklyn
Asian,0,1,0,St. Francis College Brooklyn
Black,2,7,0,St. Francis College Brooklyn
Hispanic,0,3,10,St. Francis College Brooklyn
Nat. Haw./PI,0,0,1,St. Francis College Brooklyn
N-R Alien,4,3,10,St. Francis College Brooklyn
Two or More,0,1,4,St. Francis College Brooklyn
Unknown,1,0,1,St. Francis College Brooklyn
White,8,1,24,St. Francis College Brooklyn
Total,15,16,50,St. Francis College Brooklyn
Am. Ind./AN,0,0,0,St. John's University (New York)
Asian,0,0,0,St. John's University (New York)
Black,9,11,3,St. John's University (New York)
Hispanic,2,1,5,St. John's University (New York)
Nat. Haw./PI,0,0,2,St. John's University (New York)
N-R Alien,1,2,22,St. John's University (New York)
Two or More,1,3,3,St. John's University (New York)
Unknown,0,0,1,St. John's University (New York)
White,0,5,36,St. John's University (New York)
Total,13,22,72,St. John's University (New York)
Am. Ind./AN,0,1,0,Stanford University
Asian,0,0,19,Stanford University
Black,8,5,8,Stanford University
Hispanic,0,2,10,Stanford University
Nat. Haw./PI,0,0,1,Stanford University
N-R Alien,0,2,17,Stanford University
Two or More,2,4,27,Stanford University
Unknown,0,0,1,Stanford University
White,7,23,177,Stanford University
Total,17,37,260,Stanford University
Am. Ind./AN,0,0,0,Stephen F. Austin State University
Asian,0,0,0,Stephen F. Austin State University
Black,14,27,5,Stephen F. Austin State University
Hispanic,0,1,5,Stephen F. Austin State University
Nat. Haw./PI,0,0,0,Stephen F. Austin State University
N-R Alien,0,1,9,Stephen F. Austin State University
Two or More,0,0,0,Stephen F. Austin State University
Unknown,0,0,0,Stephen F. Austin State University
White,0,14,47,Stephen F. Austin State University
Total,14,43,66,Stephen F. Austin State University
Am. Ind./AN,0,0,0,Stetson University
Asian,0,0,2,Stetson University
Black,10,0,9,Stetson University
Hispanic,1,2,12,Stetson University
Nat. Haw./PI,0,0,1,Stetson University
N-R Alien,0,0,9,Stetson University
Two or More,2,0,7,Stetson University
Unknown,0,0,0,Stetson University
White,2,16,120,Stetson University
Total,15,18,160,Stetson University
Am. Ind./AN,0,0,0,Stony Brook University
Asian,0,1,3,Stony Brook University
Black,1,4,7,Stony Brook University
Hispanic,0,3,12,Stony Brook University
Nat. Haw./PI,0,0,0,Stony Brook University
N-R Alien,1,6,7,Stony Brook University
Two or More,4,0,0,Stony Brook University
Unknown,2,2,16,Stony Brook University
White,7,26,79,Stony Brook University
Total,15,42,124,Stony Brook University
Am. Ind./AN,0,0,1,Syracuse University
Asian,0,0,1,Syracuse University
Black,12,2,5,Syracuse University
Hispanic,0,0,3,Syracuse University
Nat. Haw./PI,0,0,0,Syracuse University
N-R Alien,1,2,31,Syracuse University
Two or More,2,3,4,Syracuse University
Unknown,1,1,6,Syracuse University
White,0,16,80,Syracuse University
Total,16,24,131,Syracuse University
Am. Ind./AN,0,0,0,Temple University
Asian,1,0,0,Temple University
Black,9,23,7,Temple University
Hispanic,0,0,9,Temple University
Nat. Haw./PI,0,0,0,Temple University
N-R Alien,2,0,10,Temple University
Two or More,1,1,8,Temple University
Unknown,0,2,1,Temple University
White,1,5,117,Temple University
Total,14,31,152,Temple University
Am. Ind./AN,0,0,0,Tennessee State University
Asian,0,0,1,Tennessee State University
Black,11,22,11,Tennessee State University
Hispanic,0,0,2,Tennessee State University
Nat. Haw./PI,0,0,2,Tennessee State University
N-R Alien,0,0,0,Tennessee State University
Two or More,0,0,0,Tennessee State University
Unknown,1,1,0,Tennessee State University
White,1,0,21,Tennessee State University
Total,13,23,37,Tennessee State University
Am. Ind./AN,0,0,0,Tennessee Technological University
Asian,0,0,1,Tennessee Technological University
Black,7,7,1,Tennessee Technological University
Hispanic,0,2,3,Tennessee Technological University
Nat. Haw./PI,0,0,0,Tennessee Technological University
N-R Alien,0,0,2,Tennessee Technological University
Two or More,0,0,0,Tennessee Technological University
Unknown,0,0,0,Tennessee Technological University
White,6,13,55,Tennessee Technological University
Total,13,22,62,Tennessee Technological University
Am. Ind./AN,0,0,2,Texas A&M University-Corpus Christi
Asian,0,1,2,Texas A&M University-Corpus Christi
Black,13,5,3,Texas A&M University-Corpus Christi
Hispanic,1,9,10,Texas A&M University-Corpus Christi
Nat. Haw./PI,0,0,1,Texas A&M University-Corpus Christi
N-R Alien,0,5,8,Texas A&M University-Corpus Christi
Two or More,0,0,5,Texas A&M University-Corpus Christi
Unknown,0,0,0,Texas A&M University-Corpus Christi
White,1,6,34,Texas A&M University-Corpus Christi
Total,15,26,65,Texas A&M University-Corpus Christi
Am. Ind./AN,0,0,1,Texas A&M University College Station
Asian,0,0,2,Texas A&M University College Station
Black,12,15,4,Texas A&M University College Station
Hispanic,0,1,6,Texas A&M University College Station
Nat. Haw./PI,0,0,0,Texas A&M University College Station
N-R Alien,1,3,18,Texas A&M University College Station
Two or More,0,0,0,Texas A&M University College Station
Unknown,0,0,2,Texas A&M University College Station
White,1,20,125,Texas A&M University College Station
Total,14,39,158,Texas A&M University College Station
Am. Ind./AN,2,0,0,Texas Christian University
Asian,0,0,1,Texas Christian University
Black,10,12,4,Texas Christian University
Hispanic,1,1,7,Texas Christian University
Nat. Haw./PI,0,0,1,Texas Christian University
N-R Alien,0,3,17,Texas Christian University
Two or More,0,0,2,Texas Christian University
Unknown,0,0,1,Texas Christian University
White,2,3,81,Texas Christian University
Total,15,19,114,Texas Christian University
Am. Ind./AN,0,0,1,Texas Southern University
Asian,0,0,0,Texas Southern University
Black,14,20,47,Texas Southern University
Hispanic,0,0,22,Texas Southern University
Nat. Haw./PI,0,0,0,Texas Southern University
N-R Alien,0,0,1,Texas Southern University
Two or More,0,0,2,Texas Southern University
Unknown,0,0,0,Texas Southern University
White,0,0,8,Texas Southern University
Total,14,20,81,Texas Southern University
Am. Ind./AN,0,0,0,Texas State University
Asian,0,0,0,Texas State University
Black,8,13,4,Texas State University
Hispanic,1,7,8,Texas State University
Nat. Haw./PI,0,0,0,Texas State University
N-R Alien,0,0,10,Texas State University
Two or More,0,0,0,Texas State University
Unknown,0,0,1,Texas State University
White,3,6,39,Texas State University
Total,12,26,62,Texas State University
Am. Ind./AN,0,0,2,Texas Tech University
Asian,0,0,1,Texas Tech University
Black,8,18,5,Texas Tech University
Hispanic,0,1,5,Texas Tech University
Nat. Haw./PI,0,0,1,Texas Tech University
N-R Alien,1,2,9,Texas Tech University
Two or More,0,0,5,Texas Tech University
Unknown,0,0,0,Texas Tech University
White,2,16,49,Texas Tech University
