,Basketball,Baseball,CC/Track,Football,Other,School
Am. Ind./AN,0,0,0,2,0,Abilene Christian University
Asian,0,0,0,0,0,Abilene Christian University
Black,7,1,9,51,0,Abilene Christian University
Hispanic,0,6,0,12,1,Abilene Christian University
Nat. Haw./PI,0,0,0,0,0,Abilene Christian University
N-R Alien,2,1,5,1,4,Abilene Christian University
Two or More,0,0,0,1,0,Abilene Christian University
Unknown,0,0,0,2,0,Abilene Christian University
White,7,44,16,64,15,Abilene Christian University
Total,16,52,30,133,20,Abilene Christian University
Am. Ind./AN,0,0,0,0,0,Alabama A&M University
Asian,0,0,0,0,0,Alabama A&M University
Black,1,2,2,4,3,Alabama A&M University
Hispanic,0,2,0,0,0,Alabama A&M University
Nat. Haw./PI,0,0,0,0,0,Alabama A&M University
N-R Alien,0,0,0,0,0,Alabama A&M University
Two or More,0,0,0,0,0,Alabama A&M University
Unknown,0,0,0,0,0,Alabama A&M University
White,0,1,0,0,1,Alabama A&M University
Total,1,5,2,4,4,Alabama A&M University
Am. Ind./AN,0,0,0,0,0,Alabama State University
Asian,0,0,0,0,0,Alabama State University
Black,12,3,19,63,2,Alabama State University
Hispanic,0,17,1,0,1,Alabama State University
Nat. Haw./PI,0,0,0,0,0,Alabama State University
N-R Alien,1,2,0,0,11,Alabama State University
Two or More,0,0,0,2,0,Alabama State University
Unknown,0,0,0,2,0,Alabama State University
White,0,7,0,1,0,Alabama State University
Total,13,29,20,68,14,Alabama State University
Am. Ind./AN,0,0,0,0,0,Alcorn State University
Asian,0,0,0,0,0,Alcorn State University
Black,13,14,12,73,4,Alcorn State University
Hispanic,0,10,1,0,1,Alcorn State University
Nat. Haw./PI,0,0,0,4,0,Alcorn State University
N-R Alien,1,1,0,1,4,Alcorn State University
Two or More,0,2,0,0,1,Alcorn State University
Unknown,0,0,0,0,0,Alcorn State University
White,0,0,0,2,0,Alcorn State University
Total,14,27,13,80,10,Alcorn State University
Am. Ind./AN,0,0,0,0,1,American University
Asian,0,0,0,0,2,American University
Black,1,0,1,0,2,American University
Hispanic,0,0,1,0,4,American University
Nat. Haw./PI,0,0,0,0,0,American University
N-R Alien,2,0,0,0,4,American University
Two or More,0,0,0,0,0,American University
Unknown,6,0,0,0,6,American University
White,4,0,8,0,14,American University
Total,13,0,10,0,33,American University
Am. Ind./AN,0,0,0,1,2,Appalachian State University
Asian,0,0,0,0,0,Appalachian State University
Black,10,3,5,50,4,Appalachian State University
Hispanic,0,1,1,1,0,Appalachian State University
Nat. Haw./PI,0,0,0,0,0,Appalachian State University
N-R Alien,2,0,0,0,7,Appalachian State University
Two or More,1,4,0,5,1,Appalachian State University
Unknown,0,0,0,0,0,Appalachian State University
White,1,19,22,24,47,Appalachian State University
Total,14,27,28,81,61,Appalachian State University
Am. Ind./AN,0,0,0,0,0,Arizona State University
Asian,1,0,1,1,0,Arizona State University
Black,7,0,11,50,6,Arizona State University
Hispanic,0,5,1,2,1,Arizona State University
Nat. Haw./PI,0,0,0,5,0,Arizona State University
N-R Alien,3,0,0,1,13,Arizona State University
Two or More,0,1,2,5,4,Arizona State University
Unknown,0,0,0,1,0,Arizona State University
White,2,21,7,19,23,Arizona State University
Total,13,27,22,84,47,Arizona State University
Am. Ind./AN,0,0,0,0,0,Arkansas State University
Asian,0,0,0,0,0,Arkansas State University
Black,10,1,4,48,0,Arkansas State University
Hispanic,0,0,2,0,0,Arkansas State University
Nat. Haw./PI,0,0,0,0,0,Arkansas State University
N-R Alien,0,1,3,1,3,Arkansas State University
Two or More,0,0,1,5,0,Arkansas State University
Unknown,0,2,2,1,0,Arkansas State University
White,2,25,14,16,6,Arkansas State University
Total,12,29,26,71,9,Arkansas State University
Am. Ind./AN,0,0,0,1,0,Auburn University
Asian,0,0,0,0,0,Auburn University
Black,9,3,9,65,0,Auburn University
Hispanic,0,0,3,0,0,Auburn University
Nat. Haw./PI,0,0,0,0,0,Auburn University
N-R Alien,2,0,2,0,16,Auburn University
Two or More,0,0,0,0,0,Auburn University
Unknown,0,1,2,5,0,Auburn University
White,0,23,20,15,27,Auburn University
Total,11,27,36,86,43,Auburn University
Am. Ind./AN,0,0,0,0,0,Austin Peay State University
Asian,0,0,1,0,0,Austin Peay State University
Black,9,0,1,50,0,Austin Peay State University
Hispanic,0,3,0,0,0,Austin Peay State University
Nat. Haw./PI,0,0,0,2,0,Austin Peay State University
N-R Alien,1,0,2,0,10,Austin Peay State University
Two or More,0,0,0,0,0,Austin Peay State University
Unknown,0,2,0,0,0,Austin Peay State University
White,3,19,6,32,5,Austin Peay State University
Total,13,24,10,84,15,Austin Peay State University
Am. Ind./AN,0,0,0,0,0,Ball State University
Asian,0,0,0,0,0,Ball State University
Black,0,0,0,0,0,Ball State University
Hispanic,0,0,0,0,0,Ball State University
Nat. Haw./PI,0,0,0,0,0,Ball State University
N-R Alien,0,0,0,0,0,Ball State University
Two or More,0,0,0,0,0,Ball State University
Unknown,0,0,0,0,0,Ball State University
White,0,0,0,0,0,Ball State University
Total,0,0,0,0,0,Ball State University
Am. Ind./AN,0,0,0,1,0,Baylor University
Asian,0,0,0,0,0,Baylor University
Black,5,0,12,51,0,Baylor University
Hispanic,0,2,0,2,0,Baylor University
Nat. Haw./PI,0,0,0,0,0,Baylor University
N-R Alien,2,0,2,4,16,Baylor University
Two or More,3,2,2,3,0,Baylor University
Unknown,0,0,0,0,0,Baylor University
White,2,21,7,18,4,Baylor University
Total,12,25,23,79,20,Baylor University
Am. Ind./AN,0,0,0,0,0,Belmont University
Asian,0,0,0,0,1,Belmont University
Black,2,0,1,0,1,Belmont University
Hispanic,1,1,0,0,4,Belmont University
Nat. Haw./PI,0,0,0,0,0,Belmont University
N-R Alien,0,0,4,0,13,Belmont University
Two or More,0,1,0,0,0,Belmont University
Unknown,0,1,1,0,0,Belmont University
White,10,22,12,0,10,Belmont University
Total,13,25,18,0,29,Belmont University
Am. Ind./AN,0,0,0,0,0,Bethune-Cookman University
Asian,0,0,0,0,0,Bethune-Cookman University
Black,12,4,33,111,3,Bethune-Cookman University
Hispanic,0,11,0,0,2,Bethune-Cookman University
Nat. Haw./PI,0,0,0,0,0,Bethune-Cookman University
N-R Alien,0,0,1,0,3,Bethune-Cookman University
Two or More,0,1,0,0,0,Bethune-Cookman University
Unknown,0,0,0,0,0,Bethune-Cookman University
White,0,21,0,5,0,Bethune-Cookman University
Total,12,37,34,116,8,Bethune-Cookman University
Am. Ind./AN,0,0,0,0,0,Binghamton University
Asian,0,0,1,0,3,Binghamton University
Black,9,1,2,0,2,Binghamton University
Hispanic,0,1,1,0,3,Binghamton University
Nat. Haw./PI,0,0,0,0,0,Binghamton University
N-R Alien,2,1,0,0,17,Binghamton University
Two or More,0,1,1,0,4,Binghamton University
Unknown,1,1,1,0,7,Binghamton University
White,1,22,26,0,70,Binghamton University
Total,13,27,32,0,106,Binghamton University
Am. Ind./AN,0,0,0,1,1,Boise State University
Asian,0,0,0,1,2,Boise State University
Black,6,0,5,31,0,Boise State University
Hispanic,0,0,0,5,4,Boise State University
Nat. Haw./PI,0,0,0,3,0,Boise State University
N-R Alien,4,0,3,4,3,Boise State University
Two or More,0,0,0,1,2,Boise State University
Unknown,0,0,0,0,0,Boise State University
White,3,0,14,33,30,Boise State University
Total,13,0,22,79,42,Boise State University
Am. Ind./AN,0,0,0,0,0,Boston College
Asian,0,0,0,0,0,Boston College
Black,4,1,0,23,0,Boston College
Hispanic,1,0,0,2,0,Boston College
Nat. Haw./PI,0,0,0,1,0,Boston College
N-R Alien,2,0,0,3,12,Boston College
Two or More,0,0,0,2,1,Boston College
Unknown,2,5,0,18,5,Boston College
White,4,15,0,34,20,Boston College
Total,13,21,0,83,38,Boston College
Am. Ind./AN,0,0,0,0,2,Boston University
Asian,0,0,0,0,1,Boston University
Black,10,0,4,0,1,Boston University
Hispanic,0,0,0,0,5,Boston University
Nat. Haw./PI,0,0,0,0,0,Boston University
N-R Alien,1,0,2,0,27,Boston University
Two or More,0,0,0,0,0,Boston University
Unknown,2,0,0,0,9,Boston University
White,0,0,10,0,70,Boston University
Total,13,0,16,0,115,Boston University
Am. Ind./AN,1,0,0,1,0,Bowling Green State University
Asian,0,0,0,0,0,Bowling Green State University
Black,9,0,0,43,1,Bowling Green State University
Hispanic,1,1,0,0,1,Bowling Green State University
Nat. Haw./PI,0,0,0,1,0,Bowling Green State University
N-R Alien,0,0,0,0,13,Bowling Green State University
Two or More,0,1,0,6,1,Bowling Green State University
Unknown,1,0,0,2,3,Bowling Green State University
White,1,23,0,34,39,Bowling Green State University
Total,13,25,0,87,58,Bowling Green State University
Am. Ind./AN,0,0,0,0,0,Bradley University
Asian,1,0,0,0,2,Bradley University
Black,9,0,0,0,1,Bradley University
Hispanic,0,1,2,0,3,Bradley University
Nat. Haw./PI,0,0,0,0,0,Bradley University
N-R Alien,1,0,0,0,9,Bradley University
Two or More,0,0,0,0,1,Bradley University
Unknown,0,0,0,0,0,Bradley University
White,2,26,13,0,18,Bradley University
Total,13,27,15,0,34,Bradley University
Am. Ind./AN,0,0,0,0,1,Brigham Young University
Asian,0,0,0,0,3,Brigham Young University
Black,3,1,5,14,0,Brigham Young University
Hispanic,0,2,1,1,7,Brigham Young University
Nat. Haw./PI,0,0,0,30,4,Brigham Young University
N-R Alien,0,0,1,0,2,Brigham Young University
Two or More,0,0,0,13,0,Brigham Young University
Unknown,0,1,0,0,0,Brigham Young University
White,12,22,41,37,46,Brigham Young University
Total,15,26,48,95,63,Brigham Young University
Am. Ind./AN,0,0,0,0,0,Brown University
Asian,0,0,0,0,0,Brown University
Black,0,0,0,0,0,Brown University
Hispanic,0,0,0,0,0,Brown University
Nat. Haw./PI,0,0,0,0,0,Brown University
N-R Alien,0,0,0,0,0,Brown University
Two or More,0,0,0,0,0,Brown University
Unknown,0,0,0,0,0,Brown University
White,0,0,0,0,0,Brown University
Total,0,0,0,0,0,Brown University
Am. Ind./AN,0,0,0,0,1,Bryant University
Asian,1,0,1,0,2,Bryant University
Black,4,0,0,35,1,Bryant University
Hispanic,0,0,0,4,6,Bryant University
Nat. Haw./PI,0,0,0,0,2,Bryant University
N-R Alien,4,1,0,0,7,Bryant University
Two or More,1,0,0,0,0,Bryant University
Unknown,0,1,0,3,1,Bryant University
White,3,20,2,37,60,Bryant University
Total,13,22,3,79,80,Bryant University
Am. Ind./AN,0,0,0,0,0,Bucknell University
Asian,0,0,0,1,0,Bucknell University
Black,5,0,0,6,2,Bucknell University
Hispanic,0,0,0,3,4,Bucknell University
Nat. Haw./PI,0,0,0,0,0,Bucknell University
N-R Alien,0,0,0,0,2,Bucknell University
Two or More,0,0,0,3,3,Bucknell University
Unknown,0,0,0,0,0,Bucknell University
White,7,3,4,33,38,Bucknell University
Total,12,3,4,46,49,Bucknell University
Am. Ind./AN,0,0,0,1,1,Butler University
Asian,0,0,0,2,0,Butler University
Black,5,0,3,11,2,Butler University
Hispanic,1,6,1,3,1,Butler University
Nat. Haw./PI,0,0,0,0,0,Butler University
N-R Alien,0,0,0,0,0,Butler University
Two or More,0,1,0,3,0,Butler University
Unknown,0,3,3,5,0,Butler University
White,10,25,14,76,40,Butler University
Total,16,35,21,101,44,Butler University
Am. Ind./AN,0,0,0,1,0,California Polytechnic State University
Asian,0,1,0,1,1,California Polytechnic State University
Black,6,0,2,20,3,California Polytechnic State University
Hispanic,0,2,4,12,14,California Polytechnic State University
Nat. Haw./PI,0,0,0,3,0,California Polytechnic State University
N-R Alien,0,0,0,0,3,California Polytechnic State University
Two or More,2,4,3,9,8,California Polytechnic State University
Unknown,0,4,2,5,2,California Polytechnic State University
White,5,13,10,26,34,California Polytechnic State University
Total,13,24,21,77,65,California Polytechnic State University
Am. Ind./AN,0,0,1,0,0,California State University Bakersfield
Asian,0,0,0,0,3,California State University Bakersfield
Black,1,0,1,0,0,California State University Bakersfield
Hispanic,0,1,0,0,5,California State University Bakersfield
Nat. Haw./PI,0,0,0,0,0,California State University Bakersfield
N-R Alien,0,0,0,0,1,California State University Bakersfield
Two or More,0,0,0,0,0,California State University Bakersfield
Unknown,0,0,0,0,1,California State University Bakersfield
White,0,2,2,0,18,California State University Bakersfield
Total,1,3,4,0,28,California State University Bakersfield
Am. Ind./AN,0,0,0,0,0,California State University Fresno
Asian,0,0,0,1,3,California State University Fresno
Black,6,0,2,34,0,California State University Fresno
Hispanic,0,6,0,4,4,California State University Fresno
Nat. Haw./PI,0,0,0,7,0,California State University Fresno
N-R Alien,0,0,0,0,0,California State University Fresno
Two or More,1,0,0,6,0,California State University Fresno
Unknown,5,3,1,15,4,California State University Fresno
White,0,18,2,12,8,California State University Fresno
Total,12,27,5,79,19,California State University Fresno
Am. Ind./AN,0,0,0,0,1,California State University Fullerton
Asian,0,0,0,0,4,California State University Fullerton
Black,11,0,5,0,1,California State University Fullerton
Hispanic,0,6,12,0,8,California State University Fullerton
Nat. Haw./PI,0,0,0,0,0,California State University Fullerton
N-R Alien,2,0,0,0,5,California State University Fullerton
Two or More,0,1,3,0,0,California State University Fullerton
Unknown,0,2,0,0,3,California State University Fullerton
White,1,18,4,0,7,California State University Fullerton
Total,14,27,24,0,29,California State University Fullerton
Am. Ind./AN,0,1,0,0,0,California State University Northridge
Asian,0,2,0,0,0,California State University Northridge
Black,4,2,7,0,8,California State University Northridge
Hispanic,0,5,3,0,5,California State University Northridge
Nat. Haw./PI,0,0,0,0,0,California State University Northridge
N-R Alien,0,0,1,0,11,California State University Northridge
Two or More,0,0,0,0,0,California State University Northridge
Unknown,3,5,4,0,18,California State University Northridge
White,0,10,4,0,19,California State University Northridge
Total,7,25,19,0,61,California State University Northridge
Am. Ind./AN,0,0,0,0,0,California State University Sacramento
Asian,1,0,0,0,0,California State University Sacramento
Black,6,0,6,28,2,California State University Sacramento
Hispanic,0,4,2,6,7,California State University Sacramento
Nat. Haw./PI,0,0,0,6,0,California State University Sacramento
N-R Alien,0,0,0,1,4,California State University Sacramento
Two or More,1,1,2,3,0,California State University Sacramento
Unknown,0,2,2,5,1,California State University Sacramento
White,6,20,9,26,14,California State University Sacramento
Total,14,27,21,75,28,California State University Sacramento
Am. Ind./AN,0,1,0,0,0,Campbell University
Asian,0,0,0,0,3,Campbell University
Black,9,0,5,0,1,Campbell University
Hispanic,0,2,0,0,6,Campbell University
Nat. Haw./PI,0,0,0,0,0,Campbell University
N-R Alien,2,0,0,0,3,Campbell University
Two or More,0,0,0,0,0,Campbell University
Unknown,0,4,7,0,14,Campbell University
White,2,22,12,0,25,Campbell University
Total,13,29,24,0,52,Campbell University
Am. Ind./AN,0,0,0,0,0,Canisius University
Asian,0,0,0,0,0,Canisius University
Black,7,0,0,0,0,Canisius University
Hispanic,1,0,0,0,5,Canisius University
Nat. Haw./PI,0,0,0,0,0,Canisius University
N-R Alien,2,11,0,0,20,Canisius University
Two or More,0,0,0,0,1,Canisius University
Unknown,0,0,0,0,5,Canisius University
White,2,12,8,0,54,Canisius University
Total,12,23,8,0,85,Canisius University
Am. Ind./AN,0,0,0,0,0,Centenary College (Louisiana)
Asian,0,0,0,0,0,Centenary College (Louisiana)
Black,0,0,0,0,0,Centenary College (Louisiana)
Hispanic,0,0,0,0,0,Centenary College (Louisiana)
Nat. Haw./PI,0,0,0,0,0,Centenary College (Louisiana)
N-R Alien,0,0,0,0,0,Centenary College (Louisiana)
Two or More,0,0,0,0,0,Centenary College (Louisiana)
Unknown,0,0,0,0,0,Centenary College (Louisiana)
White,0,0,0,0,0,Centenary College (Louisiana)
Total,0,0,0,0,0,Centenary College (Louisiana)
Am. Ind./AN,0,0,0,0,0,Central Connecticut State University
Asian,0,0,0,0,0,Central Connecticut State University
Black,12,1,6,30,3,Central Connecticut State University
Hispanic,0,1,1,5,2,Central Connecticut State University
Nat. Haw./PI,0,0,0,0,0,Central Connecticut State University
N-R Alien,0,0,0,0,5,Central Connecticut State University
Two or More,0,0,0,2,0,Central Connecticut State University
Unknown,0,0,0,1,1,Central Connecticut State University
White,0,20,11,23,12,Central Connecticut State University
Total,12,22,18,61,23,Central Connecticut State University
Am. Ind./AN,0,0,0,1,0,Central Michigan University
Asian,0,0,0,0,0,Central Michigan University
Black,5,0,9,35,0,Central Michigan University
Hispanic,0,2,0,2,0,Central Michigan University
Nat. Haw./PI,0,0,1,0,0,Central Michigan University
N-R Alien,1,2,1,1,0,Central Michigan University
Two or More,1,1,3,4,1,Central Michigan University
Unknown,0,0,0,0,0,Central Michigan University
White,6,24,21,46,21,Central Michigan University
Total,13,29,35,89,22,Central Michigan University
Am. Ind./AN,0,0,0,0,0,Charleston Southern University
Asian,0,0,0,0,0,Charleston Southern University
Black,8,0,13,38,0,Charleston Southern University
Hispanic,0,0,0,2,0,Charleston Southern University
Nat. Haw./PI,0,0,0,0,0,Charleston Southern University
N-R Alien,3,0,0,0,3,Charleston Southern University
Two or More,0,0,0,0,0,Charleston Southern University
Unknown,1,2,0,3,1,Charleston Southern University
White,1,24,5,25,7,Charleston Southern University
Total,13,26,18,68,11,Charleston Southern University
Am. Ind./AN,0,0,0,0,0,Chicago State University
Asian,0,0,0,0,1,Chicago State University
Black,9,2,7,0,2,Chicago State University
Hispanic,0,1,1,0,3,Chicago State University
Nat. Haw./PI,0,0,0,0,0,Chicago State University
N-R Alien,0,0,0,0,0,Chicago State University
Two or More,1,0,0,0,0,Chicago State University
Unknown,0,1,0,0,0,Chicago State University
White,3,16,3,0,9,Chicago State University
Total,13,20,11,0,15,Chicago State University
Am. Ind./AN,0,0,0,0,0,Clemson University
Asian,0,0,0,0,1,Clemson University
Black,8,1,9,58,3,Clemson University
Hispanic,0,0,1,1,1,Clemson University
Nat. Haw./PI,0,0,0,0,0,Clemson University
N-R Alien,3,0,0,0,10,Clemson University
Two or More,0,0,0,1,0,Clemson University
Unknown,2,4,2,7,3,Clemson University
White,0,21,14,18,29,Clemson University
Total,13,26,26,85,47,Clemson University
Am. Ind./AN,0,0,0,0,0,Cleveland State University
Asian,0,0,0,0,0,Cleveland State University
Black,12,0,0,0,6,Cleveland State University
Hispanic,0,0,0,0,5,Cleveland State University
Nat. Haw./PI,0,0,0,0,0,Cleveland State University
N-R Alien,0,0,0,0,0,Cleveland State University
Two or More,1,0,0,0,2,Cleveland State University
Unknown,0,0,0,0,0,Cleveland State University
White,0,0,0,0,59,Cleveland State University
Total,13,0,0,0,72,Cleveland State University
Am. Ind./AN,0,0,0,1,0,Coastal Carolina University
Asian,0,0,0,0,0,Coastal Carolina University
Black,6,0,15,43,1,Coastal Carolina University
Hispanic,0,1,0,1,3,Coastal Carolina University
Nat. Haw./PI,0,0,0,0,0,Coastal Carolina University
N-R Alien,5,0,0,1,24,Coastal Carolina University
Two or More,2,0,0,5,0,Coastal Carolina University
Unknown,0,0,0,0,0,Coastal Carolina University
White,1,27,11,33,10,Coastal Carolina University
Total,14,28,26,84,38,Coastal Carolina University
Am. Ind./AN,0,0,0,0,0,Colgate University
Asian,0,0,0,1,0,Colgate University
Black,1,0,0,5,2,Colgate University
Hispanic,0,0,1,2,4,Colgate University
Nat. Haw./PI,0,0,0,0,0,Colgate University
N-R Alien,2,0,0,0,16,Colgate University
Two or More,1,0,0,1,1,Colgate University
Unknown,1,0,0,0,4,Colgate University
White,7,0,7,42,66,Colgate University
Total,12,0,8,51,93,Colgate University
Am. Ind./AN,0,0,0,0,0,College of Charleston (South Carolina)
Asian,0,0,0,0,1,College of Charleston (South Carolina)
Black,7,2,0,0,1,College of Charleston (South Carolina)
Hispanic,0,0,0,0,2,College of Charleston (South Carolina)
Nat. Haw./PI,0,0,0,0,0,College of Charleston (South Carolina)
N-R Alien,1,1,0,0,13,College of Charleston (South Carolina)
Two or More,1,0,0,0,1,College of Charleston (South Carolina)
Unknown,0,0,0,0,0,College of Charleston (South Carolina)
White,3,24,6,0,41,College of Charleston (South Carolina)
Total,12,27,6,0,59,College of Charleston (South Carolina)
Am. Ind./AN,1,0,0,0,0,College of the Holy Cross
Asian,0,0,0,0,0,College of the Holy Cross
Black,6,0,0,17,0,College of the Holy Cross
Hispanic,0,0,2,6,2,College of the Holy Cross
Nat. Haw./PI,0,0,0,0,0,College of the Holy Cross
N-R Alien,0,0,0,0,0,College of the Holy Cross
Two or More,1,0,0,2,0,College of the Holy Cross
Unknown,1,2,0,4,4,College of the Holy Cross
White,4,9,14,38,32,College of the Holy Cross
Total,13,11,16,67,38,College of the Holy Cross
Am. Ind./AN,0,0,0,0,0,Colorado State University
Asian,0,0,0,1,0,Colorado State University
Black,8,0,5,39,0,Colorado State University
Hispanic,1,0,1,7,0,Colorado State University
Nat. Haw./PI,0,0,0,2,0,Colorado State University
N-R Alien,3,0,0,0,1,Colorado State University
Two or More,2,0,2,16,1,Colorado State University
Unknown,0,0,0,0,0,Colorado State University
White,2,0,45,56,7,Colorado State University
Total,16,0,53,121,9,Colorado State University
Am. Ind./AN,0,0,0,0,0,Columbia University-Barnard College
Asian,0,0,0,0,0,Columbia University-Barnard College
Black,0,0,0,0,0,Columbia University-Barnard College
Hispanic,0,0,0,0,0,Columbia University-Barnard College
Nat. Haw./PI,0,0,0,0,0,Columbia University-Barnard College
N-R Alien,0,0,0,0,0,Columbia University-Barnard College
Two or More,0,0,0,0,0,Columbia University-Barnard College
Unknown,0,0,0,0,0,Columbia University-Barnard College
White,0,0,0,0,0,Columbia University-Barnard College
Total,0,0,0,0,0,Columbia University-Barnard College
Am. Ind./AN,0,0,0,0,0,Coppin State University
Asian,0,0,0,0,0,Coppin State University
Black,12,3,12,0,0,Coppin State University
Hispanic,0,3,0,0,1,Coppin State University
Nat. Haw./PI,0,0,0,0,0,Coppin State University
N-R Alien,0,0,0,0,0,Coppin State University
Two or More,0,0,0,0,0,Coppin State University
Unknown,3,24,14,0,5,Coppin State University
White,0,3,0,0,1,Coppin State University
Total,15,33,26,0,7,Coppin State University
Am. Ind./AN,0,0,0,0,0,Cornell University
Asian,0,0,0,0,0,Cornell University
Black,0,0,0,0,0,Cornell University
Hispanic,0,0,0,0,0,Cornell University
Nat. Haw./PI,0,0,0,0,0,Cornell University
N-R Alien,0,0,0,0,0,Cornell University
Two or More,0,0,0,0,0,Cornell University
Unknown,0,0,0,0,0,Cornell University
White,0,0,0,0,0,Cornell University
Total,0,0,0,0,0,Cornell University
Am. Ind./AN,0,0,0,0,0,Creighton University
Asian,0,0,1,0,2,Creighton University
Black,4,0,0,0,1,Creighton University
Hispanic,0,0,0,0,1,Creighton University
Nat. Haw./PI,1,0,0,0,0,Creighton University
N-R Alien,0,0,0,0,5,Creighton University
Two or More,0,1,0,0,0,Creighton University
Unknown,0,0,0,0,0,Creighton University
White,8,27,11,0,23,Creighton University
Total,13,28,12,0,32,Creighton University
Am. Ind./AN,0,1,0,4,4,Dartmouth College
Asian,1,1,2,4,16,Dartmouth College
Black,3,0,4,21,6,Dartmouth College
Hispanic,1,1,5,5,19,Dartmouth College
Nat. Haw./PI,0,0,0,0,0,Dartmouth College
N-R Alien,0,0,0,0,0,Dartmouth College
Two or More,1,0,1,3,3,Dartmouth College
Unknown,0,1,3,6,25,Dartmouth College
White,8,24,42,76,207,Dartmouth College
Total,14,28,57,119,280,Dartmouth College
Am. Ind./AN,0,0,0,0,0,Davidson College
Asian,0,1,0,0,1,Davidson College
Black,3,0,1,0,0,Davidson College
Hispanic,0,0,0,0,5,Davidson College
Nat. Haw./PI,0,0,0,0,0,Davidson College
N-R Alien,2,0,0,0,2,Davidson College
Two or More,0,0,0,0,0,Davidson College
Unknown,0,0,0,0,0,Davidson College
White,6,10,10,0,33,Davidson College
Total,11,11,11,0,41,Davidson College
Am. Ind./AN,0,0,0,0,0,DePaul University
Asian,0,0,0,0,1,DePaul University
Black,12,0,6,0,0,DePaul University
Hispanic,0,0,1,0,3,DePaul University
Nat. Haw./PI,0,0,0,0,0,DePaul University
N-R Alien,1,0,4,0,13,DePaul University
Two or More,0,0,0,0,0,DePaul University
Unknown,0,0,0,0,0,DePaul University
White,0,0,9,0,24,DePaul University
Total,13,0,20,0,41,DePaul University
Am. Ind./AN,0,0,0,0,0,Delaware State University
Asian,0,0,0,0,0,Delaware State University
Black,18,4,31,76,0,Delaware State University
Hispanic,0,8,3,5,0,Delaware State University
Nat. Haw./PI,0,0,0,0,0,Delaware State University
N-R Alien,1,0,2,1,0,Delaware State University
Two or More,0,5,3,5,0,Delaware State University
Unknown,0,1,0,0,0,Delaware State University
White,2,13,2,5,0,Delaware State University
Total,21,31,41,92,0,Delaware State University
Am. Ind./AN,0,0,0,1,0,Drake University
Asian,0,0,0,1,0,Drake University
Black,5,0,7,8,0,Drake University
Hispanic,2,0,1,6,0,Drake University
Nat. Haw./PI,0,0,0,0,0,Drake University
N-R Alien,4,0,1,0,12,Drake University
Two or More,0,0,1,5,2,Drake University
Unknown,0,0,1,1,2,Drake University
White,5,0,29,87,33,Drake University
Total,16,0,40,109,49,Drake University
Am. Ind./AN,0,0,0,0,1,Drexel University
Asian,0,0,0,0,1,Drexel University
Black,9,0,0,0,2,Drexel University
Hispanic,0,0,0,0,5,Drexel University
Nat. Haw./PI,0,0,0,0,0,Drexel University
N-R Alien,3,0,0,0,27,Drexel University
Two or More,0,0,0,0,0,Drexel University
Unknown,1,0,0,0,28,Drexel University
White,0,0,0,0,73,Drexel University
Total,13,0,0,0,137,Drexel University
Am. Ind./AN,0,1,0,0,1,Duke University
Asian,0,1,0,0,3,Duke University
Black,9,1,1,48,3,Duke University
Hispanic,0,2,0,0,2,Duke University
Nat. Haw./PI,0,0,0,0,0,Duke University
N-R Alien,0,0,0,0,2,Duke University
Two or More,0,0,0,0,0,Duke University
Unknown,1,0,0,5,1,Duke University
White,1,13,12,28,41,Duke University
Total,11,18,13,81,53,Duke University
Am. Ind./AN,0,0,0,0,0,Duquesne University
Asian,0,0,0,0,0,Duquesne University
Black,10,0,1,30,1,Duquesne University
Hispanic,0,0,2,1,1,Duquesne University
Nat. Haw./PI,0,0,0,3,0,Duquesne University
N-R Alien,0,0,0,0,10,Duquesne University
Two or More,0,0,1,3,0,Duquesne University
Unknown,1,0,0,1,0,Duquesne University
White,2,0,18,35,18,Duquesne University
Total,13,0,22,73,30,Duquesne University
Am. Ind./AN,0,1,0,1,0,East Carolina University
Asian,0,0,0,1,1,East Carolina University
Black,10,1,14,55,0,East Carolina University
Hispanic,0,0,0,0,0,East Carolina University
Nat. Haw./PI,0,0,0,0,1,East Carolina University
N-R Alien,2,0,1,0,10,East Carolina University
Two or More,0,0,0,0,0,East Carolina University
Unknown,0,0,1,1,1,East Carolina University
White,2,24,16,26,24,East Carolina University
Total,14,26,32,84,37,East Carolina University
Am. Ind./AN,0,0,0,0,0,East Tennessee State University
Asian,0,0,0,0,0,East Tennessee State University
Black,12,2,11,0,1,East Tennessee State University
Hispanic,0,1,0,0,2,East Tennessee State University
Nat. Haw./PI,0,0,0,0,0,East Tennessee State University
N-R Alien,1,0,4,0,24,East Tennessee State University
Two or More,0,2,2,0,1,East Tennessee State University
Unknown,0,0,1,0,0,East Tennessee State University
White,3,29,25,0,16,East Tennessee State University
Total,16,34,43,0,44,East Tennessee State University
Am. Ind./AN,0,0,0,0,0,Eastern Illinois University
Asian,0,0,0,1,0,Eastern Illinois University
Black,10,2,19,48,1,Eastern Illinois University
Hispanic,0,0,6,5,2,Eastern Illinois University
Nat. Haw./PI,0,0,0,0,0,Eastern Illinois University
N-R Alien,0,0,0,0,3,Eastern Illinois University
Two or More,1,1,1,6,1,Eastern Illinois University
Unknown,2,1,6,2,1,Eastern Illinois University
White,7,32,36,39,55,Eastern Illinois University
Total,20,36,68,101,63,Eastern Illinois University
Am. Ind./AN,0,0,0,0,0,Eastern Kentucky University
Asian,0,0,0,0,0,Eastern Kentucky University
Black,7,0,2,43,0,Eastern Kentucky University
