Race,Men Basketball 0,Men Baseball 0,Men CC/Track 0,Men Football 2,Men Other 0,School,Sport Category,Men Football 0,Men Other 1,Men Football 1,Men Other 2,Men Basketball 1,Men CC/Track 1,Men Baseball 1,Men Football 4,Men Other 4,Men CC/Track 3,Men Other 9,Men Football 3,Men Baseball 2,Men Baseball 7,Men Other 7
,,,,,,Brown University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Brown University,Men,0,,,,,,,,,,,,,,
,,,,,,Brown University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Brown University,Men,0,,,,,,,,,,,,,,
,,,,,,Brown University,Men,,,,,,,,,,,,,,,
White,0,0,0,,0,Brown University,Men,0,,,,,,,,,,,,,,
,,,,,,Brown University,Men,,,,,,,,,,,,,,,
Total,0,0,0,,0,Brown University,Men,0,,,,,,,,,,,,,,
,,,,,,Bryant University,Men,,,,,,,,,,,,,,,
Asian,1,0,1,,,Bryant University,Men,0,2,,,,,,,,,,,,,
,,,,,,Bryant University,Men,,,,,,,,,,,,,,,
Black,4,0,0,,,Bryant University,Men,35,1,,,,,,,,,,,,,
,,,,,,Bryant University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,,Bryant University,Men,4,6,,,,,,,,,,,,,
,,,,,,Bryant University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,Bryant University,Men,0,2,,,,,,,,,,,,,
,,,,,,Bryant University,Men,,,,,,,,,,,,,,,
N-R Alien,4,1,0,,,Bryant University,Men,0,7,,,,,,,,,,,,,
,,,,,,Bryant University,Men,,,,,,,,,,,,,,,
Two or More,1,0,0,,,Bryant University,Men,0,0,,,,,,,,,,,,,
,,,,,,Bryant University,Men,,,,,,,,,,,,,,,
Unknown,0,1,0,,,Bryant University,Men,3,1,,,,,,,,,,,,,
,,,,,,Bryant University,Men,,,,,,,,,,,,,,,
White,3,20,2,,,Bryant University,Men,37,60,,,,,,,,,,,,,
,,,,,,Bryant University,Men,,,,,,,,,,,,,,,
Total,13,22,3,,,Bryant University,Men,79,80,,,,,,,,,,,,,
,,,,,,Bucknell University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Bucknell University,Men,1,,,,,,,,,,,,,,
,,,,,,Bucknell University,Men,,,,,,,,,,,,,,,
Black,5,0,0,,2,Bucknell University,Men,6,,,,,,,,,,,,,,
,,,,,,Bucknell University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,4,Bucknell University,Men,3,,,,,,,,,,,,,,
,,,,,,Bucknell University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Bucknell University,Men,0,,,,,,,,,,,,,,
,,,,,,Bucknell University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,2,Bucknell University,Men,0,,,,,,,,,,,,,,
,,,,,,Bucknell University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,3,Bucknell University,Men,3,,,,,,,,,,,,,,
,,,,,,Bucknell University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Bucknell University,Men,0,,,,,,,,,,,,,,
,,,,,,Bucknell University,Men,,,,,,,,,,,,,,,
White,7,3,4,,38,Bucknell University,Men,33,,,,,,,,,,,,,,
,,,,,,Bucknell University,Men,,,,,,,,,,,,,,,
Total,12,3,4,,49,Bucknell University,Men,46,,,,,,,,,,,,,,
,,,,,,Butler University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,,Butler University,Men,,0,2,,,,,,,,,,,,
,,,,,,Butler University,Men,,,,,,,,,,,,,,,
Black,5,0,3,,,Butler University,Men,,2,11,,,,,,,,,,,,
,,,,,,Butler University,Men,,,,,,,,,,,,,,,
Hispanic,1,6,1,,,Butler University,Men,,1,3,,,,,,,,,,,,
,,,,,,Butler University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,Butler University,Men,,0,0,,,,,,,,,,,,
,,,,,,Butler University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,,Butler University,Men,,0,0,,,,,,,,,,,,
,,,,,,Butler University,Men,,,,,,,,,,,,,,,
Two or More,0,1,0,,,Butler University,Men,,0,3,,,,,,,,,,,,
,,,,,,Butler University,Men,,,,,,,,,,,,,,,
Unknown,0,3,3,,,Butler University,Men,,0,5,,,,,,,,,,,,
,,,,,,Butler University,Men,,,,,,,,,,,,,,,
White,10,25,14,,,Butler University,Men,,40,76,,,,,,,,,,,,
,,,,,,Butler University,Men,,,,,,,,,,,,,,,
Total,16,35,21,,,Butler University,Men,,44,101,,,,,,,,,,,,
,,,,,,California Polytechnic State University,Men,,,,,,,,,,,,,,,
Asian,0,1,0,,1,California Polytechnic State University,Men,,,1,,,,,,,,,,,,
,,,,,,California Polytechnic State University,Men,,,,,,,,,,,,,,,
Black,6,0,2,,3,California Polytechnic State University,Men,,,20,,,,,,,,,,,,
,,,,,,California Polytechnic State University,Men,,,,,,,,,,,,,,,
Hispanic,0,2,4,,14,California Polytechnic State University,Men,,,12,,,,,,,,,,,,
,,,,,,California Polytechnic State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,California Polytechnic State University,Men,,,3,,,,,,,,,,,,
,,,,,,California Polytechnic State University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,3,California Polytechnic State University,Men,,,0,,,,,,,,,,,,
,,,,,,California Polytechnic State University,Men,,,,,,,,,,,,,,,
Two or More,2,4,3,,8,California Polytechnic State University,Men,,,9,,,,,,,,,,,,
,,,,,,California Polytechnic State University,Men,,,,,,,,,,,,,,,
Unknown,0,4,2,,2,California Polytechnic State University,Men,,,5,,,,,,,,,,,,
,,,,,,California Polytechnic State University,Men,,,,,,,,,,,,,,,
White,5,13,10,,34,California Polytechnic State University,Men,,,26,,,,,,,,,,,,
,,,,,,California Polytechnic State University,Men,,,,,,,,,,,,,,,
Total,13,24,21,,65,California Polytechnic State University,Men,,,77,,,,,,,,,,,,
,,,,,,California State University Bakersfield,Men,,,,,,,,,,,,,,,
Asian,0,0,,,3,California State University Bakersfield,Men,0,,,,,0,,,,,,,,,
,,,,,,California State University Bakersfield,Men,,,,,,,,,,,,,,,
Black,1,0,,,0,California State University Bakersfield,Men,0,,,,,1,,,,,,,,,
,,,,,,California State University Bakersfield,Men,,,,,,,,,,,,,,,
Hispanic,0,1,,,5,California State University Bakersfield,Men,0,,,,,0,,,,,,,,,
,,,,,,California State University Bakersfield,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,,,0,California State University Bakersfield,Men,0,,,,,0,,,,,,,,,
,,,,,,California State University Bakersfield,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,,,1,California State University Bakersfield,Men,0,,,,,0,,,,,,,,,
,,,,,,California State University Bakersfield,Men,,,,,,,,,,,,,,,
Two or More,0,0,,,0,California State University Bakersfield,Men,0,,,,,0,,,,,,,,,
,,,,,,California State University Bakersfield,Men,,,,,,,,,,,,,,,
Unknown,0,0,,,1,California State University Bakersfield,Men,0,,,,,0,,,,,,,,,
,,,,,,California State University Bakersfield,Men,,,,,,,,,,,,,,,
White,0,2,,,18,California State University Bakersfield,Men,0,,,,,2,,,,,,,,,
,,,,,,California State University Bakersfield,Men,,,,,,,,,,,,,,,
Total,1,3,,,28,California State University Bakersfield,Men,0,,,,,4,,,,,,,,,
,,,,,,California State University Fresno,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,3,California State University Fresno,Men,1,,,,,,,,,,,,,,
,,,,,,California State University Fresno,Men,,,,,,,,,,,,,,,
Black,6,0,2,,0,California State University Fresno,Men,34,,,,,,,,,,,,,,
,,,,,,California State University Fresno,Men,,,,,,,,,,,,,,,
Hispanic,0,6,0,,4,California State University Fresno,Men,4,,,,,,,,,,,,,,
,,,,,,California State University Fresno,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,California State University Fresno,Men,7,,,,,,,,,,,,,,
,,,,,,California State University Fresno,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,0,California State University Fresno,Men,0,,,,,,,,,,,,,,
,,,,,,California State University Fresno,Men,,,,,,,,,,,,,,,
Two or More,1,0,0,,0,California State University Fresno,Men,6,,,,,,,,,,,,,,
,,,,,,California State University Fresno,Men,,,,,,,,,,,,,,,
Unknown,5,3,1,,4,California State University Fresno,Men,15,,,,,,,,,,,,,,
,,,,,,California State University Fresno,Men,,,,,,,,,,,,,,,
White,0,18,2,,8,California State University Fresno,Men,12,,,,,,,,,,,,,,
,,,,,,California State University Fresno,Men,,,,,,,,,,,,,,,
Total,12,27,5,,19,California State University Fresno,Men,79,,,,,,,,,,,,,,
,,,,,,California State University Fullerton,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,,California State University Fullerton,Men,0,4,,,,,,,,,,,,,
,,,,,,California State University Fullerton,Men,,,,,,,,,,,,,,,
Black,11,0,5,,,California State University Fullerton,Men,0,1,,,,,,,,,,,,,
,,,,,,California State University Fullerton,Men,,,,,,,,,,,,,,,
Hispanic,0,6,12,,,California State University Fullerton,Men,0,8,,,,,,,,,,,,,
,,,,,,California State University Fullerton,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,California State University Fullerton,Men,0,0,,,,,,,,,,,,,
,,,,,,California State University Fullerton,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,0,,,California State University Fullerton,Men,0,5,,,,,,,,,,,,,
,,,,,,California State University Fullerton,Men,,,,,,,,,,,,,,,
Two or More,0,1,3,,,California State University Fullerton,Men,0,0,,,,,,,,,,,,,
,,,,,,California State University Fullerton,Men,,,,,,,,,,,,,,,
Unknown,0,2,0,,,California State University Fullerton,Men,0,3,,,,,,,,,,,,,
,,,,,,California State University Fullerton,Men,,,,,,,,,,,,,,,
White,1,18,4,,,California State University Fullerton,Men,0,7,,,,,,,,,,,,,
,,,,,,California State University Fullerton,Men,,,,,,,,,,,,,,,
Total,14,27,24,,,California State University Fullerton,Men,0,29,,,,,,,,,,,,,
,,,,,,California State University Northridge,Men,,,,,,,,,,,,,,,
Asian,0,,0,,0,California State University Northridge,Men,0,,,,,,2,,,,,,,,
,,,,,,California State University Northridge,Men,,,,,,,,,,,,,,,
Black,4,,7,,8,California State University Northridge,Men,0,,,,,,2,,,,,,,,
,,,,,,California State University Northridge,Men,,,,,,,,,,,,,,,
Hispanic,0,,3,,5,California State University Northridge,Men,0,,,,,,5,,,,,,,,
,,,,,,California State University Northridge,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,,0,,0,California State University Northridge,Men,0,,,,,,0,,,,,,,,
,,,,,,California State University Northridge,Men,,,,,,,,,,,,,,,
N-R Alien,0,,1,,11,California State University Northridge,Men,0,,,,,,0,,,,,,,,
,,,,,,California State University Northridge,Men,,,,,,,,,,,,,,,
Two or More,0,,0,,0,California State University Northridge,Men,0,,,,,,0,,,,,,,,
,,,,,,California State University Northridge,Men,,,,,,,,,,,,,,,
Unknown,3,,4,,18,California State University Northridge,Men,0,,,,,,5,,,,,,,,
,,,,,,California State University Northridge,Men,,,,,,,,,,,,,,,
White,0,,4,,19,California State University Northridge,Men,0,,,,,,10,,,,,,,,
,,,,,,California State University Northridge,Men,,,,,,,,,,,,,,,
Total,7,,19,,61,California State University Northridge,Men,0,,,,,,25,,,,,,,,
,,,,,,California State University Sacramento,Men,,,,,,,,,,,,,,,
Asian,1,0,0,,0,California State University Sacramento,Men,0,,,,,,,,,,,,,,
,,,,,,California State University Sacramento,Men,,,,,,,,,,,,,,,
Black,6,0,6,,2,California State University Sacramento,Men,28,,,,,,,,,,,,,,
,,,,,,California State University Sacramento,Men,,,,,,,,,,,,,,,
Hispanic,0,4,2,,7,California State University Sacramento,Men,6,,,,,,,,,,,,,,
,,,,,,California State University Sacramento,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,California State University Sacramento,Men,6,,,,,,,,,,,,,,
,,,,,,California State University Sacramento,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,4,California State University Sacramento,Men,1,,,,,,,,,,,,,,
,,,,,,California State University Sacramento,Men,,,,,,,,,,,,,,,
Two or More,1,1,2,,0,California State University Sacramento,Men,3,,,,,,,,,,,,,,
,,,,,,California State University Sacramento,Men,,,,,,,,,,,,,,,
Unknown,0,2,2,,1,California State University Sacramento,Men,5,,,,,,,,,,,,,,
,,,,,,California State University Sacramento,Men,,,,,,,,,,,,,,,
White,6,20,9,,14,California State University Sacramento,Men,26,,,,,,,,,,,,,,
,,,,,,California State University Sacramento,Men,,,,,,,,,,,,,,,
Total,14,27,21,,28,California State University Sacramento,Men,75,,,,,,,,,,,,,,
,,,,,,Campbell University,Men,,,,,,,,,,,,,,,
Asian,0,,0,,3,Campbell University,Men,0,,,,,,0,,,,,,,,
,,,,,,Campbell University,Men,,,,,,,,,,,,,,,
Black,9,,5,,1,Campbell University,Men,0,,,,,,0,,,,,,,,
,,,,,,Campbell University,Men,,,,,,,,,,,,,,,
Hispanic,0,,0,,6,Campbell University,Men,0,,,,,,2,,,,,,,,
,,,,,,Campbell University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,,0,,0,Campbell University,Men,0,,,,,,0,,,,,,,,
,,,,,,Campbell University,Men,,,,,,,,,,,,,,,
N-R Alien,2,,0,,3,Campbell University,Men,0,,,,,,0,,,,,,,,
,,,,,,Campbell University,Men,,,,,,,,,,,,,,,
Two or More,0,,0,,0,Campbell University,Men,0,,,,,,0,,,,,,,,
,,,,,,Campbell University,Men,,,,,,,,,,,,,,,
Unknown,0,,7,,14,Campbell University,Men,0,,,,,,4,,,,,,,,
,,,,,,Campbell University,Men,,,,,,,,,,,,,,,
White,2,,12,,25,Campbell University,Men,0,,,,,,22,,,,,,,,
,,,,,,Campbell University,Men,,,,,,,,,,,,,,,
Total,13,,24,,52,Campbell University,Men,0,,,,,,29,,,,,,,,
,,,,,,Canisius University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Canisius University,Men,0,,,,,,,,,,,,,,
,,,,,,Canisius University,Men,,,,,,,,,,,,,,,
Black,7,0,0,,0,Canisius University,Men,0,,,,,,,,,,,,,,
,,,,,,Canisius University,Men,,,,,,,,,,,,,,,
Hispanic,1,0,0,,5,Canisius University,Men,0,,,,,,,,,,,,,,
,,,,,,Canisius University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Canisius University,Men,0,,,,,,,,,,,,,,
,,,,,,Canisius University,Men,,,,,,,,,,,,,,,
N-R Alien,2,11,0,,20,Canisius University,Men,0,,,,,,,,,,,,,,
,,,,,,Canisius University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,1,Canisius University,Men,0,,,,,,,,,,,,,,
,,,,,,Canisius University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,5,Canisius University,Men,0,,,,,,,,,,,,,,
,,,,,,Canisius University,Men,,,,,,,,,,,,,,,
White,2,12,8,,54,Canisius University,Men,0,,,,,,,,,,,,,,
,,,,,,Canisius University,Men,,,,,,,,,,,,,,,
Total,12,23,8,,85,Canisius University,Men,0,,,,,,,,,,,,,,
,,,,,,Centenary College (Louisiana),Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Centenary College (Louisiana),Men,0,,,,,,,,,,,,,,
,,,,,,Centenary College (Louisiana),Men,,,,,,,,,,,,,,,
Black,0,0,0,,0,Centenary College (Louisiana),Men,0,,,,,,,,,,,,,,
,,,,,,Centenary College (Louisiana),Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,0,Centenary College (Louisiana),Men,0,,,,,,,,,,,,,,
,,,,,,Centenary College (Louisiana),Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Centenary College (Louisiana),Men,0,,,,,,,,,,,,,,
,,,,,,Centenary College (Louisiana),Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,0,Centenary College (Louisiana),Men,0,,,,,,,,,,,,,,
,,,,,,Centenary College (Louisiana),Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Centenary College (Louisiana),Men,0,,,,,,,,,,,,,,
,,,,,,Centenary College (Louisiana),Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Centenary College (Louisiana),Men,0,,,,,,,,,,,,,,
,,,,,,Centenary College (Louisiana),Men,,,,,,,,,,,,,,,
White,0,0,0,,0,Centenary College (Louisiana),Men,0,,,,,,,,,,,,,,
,,,,,,Centenary College (Louisiana),Men,,,,,,,,,,,,,,,
Total,0,0,0,,0,Centenary College (Louisiana),Men,0,,,,,,,,,,,,,,
,,,,,,Central Connecticut State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Central Connecticut State University,Men,0,,,,,,,,,,,,,,
,,,,,,Central Connecticut State University,Men,,,,,,,,,,,,,,,
Black,12,1,6,,3,Central Connecticut State University,Men,30,,,,,,,,,,,,,,
,,,,,,Central Connecticut State University,Men,,,,,,,,,,,,,,,
Hispanic,0,1,1,,2,Central Connecticut State University,Men,5,,,,,,,,,,,,,,
,,,,,,Central Connecticut State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Central Connecticut State University,Men,0,,,,,,,,,,,,,,
,,,,,,Central Connecticut State University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,5,Central Connecticut State University,Men,0,,,,,,,,,,,,,,
,,,,,,Central Connecticut State University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Central Connecticut State University,Men,2,,,,,,,,,,,,,,
,,,,,,Central Connecticut State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,1,Central Connecticut State University,Men,1,,,,,,,,,,,,,,
,,,,,,Central Connecticut State University,Men,,,,,,,,,,,,,,,
White,0,20,11,,12,Central Connecticut State University,Men,23,,,,,,,,,,,,,,
,,,,,,Central Connecticut State University,Men,,,,,,,,,,,,,,,
Total,12,22,18,,23,Central Connecticut State University,Men,61,,,,,,,,,,,,,,
,,,,,,Central Michigan University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Central Michigan University,Men,,,0,,,,,,,,,,,,
,,,,,,Central Michigan University,Men,,,,,,,,,,,,,,,
Black,5,0,9,,0,Central Michigan University,Men,,,35,,,,,,,,,,,,
,,,,,,Central Michigan University,Men,,,,,,,,,,,,,,,
Hispanic,0,2,0,,0,Central Michigan University,Men,,,2,,,,,,,,,,,,
,,,,,,Central Michigan University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,1,,0,Central Michigan University,Men,,,0,,,,,,,,,,,,
,,,,,,Central Michigan University,Men,,,,,,,,,,,,,,,
N-R Alien,1,2,1,,0,Central Michigan University,Men,,,1,,,,,,,,,,,,
,,,,,,Central Michigan University,Men,,,,,,,,,,,,,,,
Two or More,1,1,3,,1,Central Michigan University,Men,,,4,,,,,,,,,,,,
,,,,,,Central Michigan University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Central Michigan University,Men,,,0,,,,,,,,,,,,
,,,,,,Central Michigan University,Men,,,,,,,,,,,,,,,
White,6,24,21,,21,Central Michigan University,Men,,,46,,,,,,,,,,,,
,,,,,,Central Michigan University,Men,,,,,,,,,,,,,,,
Total,13,29,35,,22,Central Michigan University,Men,,,89,,,,,,,,,,,,
,,,,,,Charleston Southern University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Charleston Southern University,Men,0,,,,,,,,,,,,,,
,,,,,,Charleston Southern University,Men,,,,,,,,,,,,,,,
Black,8,0,13,,0,Charleston Southern University,Men,38,,,,,,,,,,,,,,
,,,,,,Charleston Southern University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,0,Charleston Southern University,Men,2,,,,,,,,,,,,,,
,,,,,,Charleston Southern University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Charleston Southern University,Men,0,,,,,,,,,,,,,,
,,,,,,Charleston Southern University,Men,,,,,,,,,,,,,,,
N-R Alien,3,0,0,,3,Charleston Southern University,Men,0,,,,,,,,,,,,,,
,,,,,,Charleston Southern University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Charleston Southern University,Men,0,,,,,,,,,,,,,,
,,,,,,Charleston Southern University,Men,,,,,,,,,,,,,,,
Unknown,1,2,0,,1,Charleston Southern University,Men,3,,,,,,,,,,,,,,
,,,,,,Charleston Southern University,Men,,,,,,,,,,,,,,,
White,1,24,5,,7,Charleston Southern University,Men,25,,,,,,,,,,,,,,
,,,,,,Charleston Southern University,Men,,,,,,,,,,,,,,,
Total,13,26,18,,11,Charleston Southern University,Men,68,,,,,,,,,,,,,,
,,,,,,Chicago State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,1,Chicago State University,Men,0,,,,,,,,,,,,,,
,,,,,,Chicago State University,Men,,,,,,,,,,,,,,,
Black,9,2,7,,2,Chicago State University,Men,0,,,,,,,,,,,,,,
,,,,,,Chicago State University,Men,,,,,,,,,,,,,,,
Hispanic,0,1,1,,3,Chicago State University,Men,0,,,,,,,,,,,,,,
,,,,,,Chicago State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Chicago State University,Men,0,,,,,,,,,,,,,,
,,,,,,Chicago State University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,0,Chicago State University,Men,0,,,,,,,,,,,,,,
,,,,,,Chicago State University,Men,,,,,,,,,,,,,,,
Two or More,1,0,0,,0,Chicago State University,Men,0,,,,,,,,,,,,,,
,,,,,,Chicago State University,Men,,,,,,,,,,,,,,,
Unknown,0,1,0,,0,Chicago State University,Men,0,,,,,,,,,,,,,,
,,,,,,Chicago State University,Men,,,,,,,,,,,,,,,
White,3,16,3,,9,Chicago State University,Men,0,,,,,,,,,,,,,,
,,,,,,Chicago State University,Men,,,,,,,,,,,,,,,
Total,13,20,11,,15,Chicago State University,Men,0,,,,,,,,,,,,,,
,,,,,,Clemson University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,1,Clemson University,Men,0,,,,,,,,,,,,,,
,,,,,,Clemson University,Men,,,,,,,,,,,,,,,
Black,8,1,9,,3,Clemson University,Men,58,,,,,,,,,,,,,,
,,,,,,Clemson University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,1,,1,Clemson University,Men,1,,,,,,,,,,,,,,
,,,,,,Clemson University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Clemson University,Men,0,,,,,,,,,,,,,,
,,,,,,Clemson University,Men,,,,,,,,,,,,,,,
N-R Alien,3,0,0,,10,Clemson University,Men,0,,,,,,,,,,,,,,
,,,,,,Clemson University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Clemson University,Men,1,,,,,,,,,,,,,,
,,,,,,Clemson University,Men,,,,,,,,,,,,,,,
Unknown,2,4,2,,3,Clemson University,Men,7,,,,,,,,,,,,,,
,,,,,,Clemson University,Men,,,,,,,,,,,,,,,
White,0,21,14,,29,Clemson University,Men,18,,,,,,,,,,,,,,
,,,,,,Clemson University,Men,,,,,,,,,,,,,,,
Total,13,26,26,,47,Clemson University,Men,85,,,,,,,,,,,,,,
,,,,,,Cleveland State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Cleveland State University,Men,0,,,,,,,,,,,,,,
,,,,,,Cleveland State University,Men,,,,,,,,,,,,,,,
Black,12,0,0,,6,Cleveland State University,Men,0,,,,,,,,,,,,,,
,,,,,,Cleveland State University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,5,Cleveland State University,Men,0,,,,,,,,,,,,,,
,,,,,,Cleveland State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Cleveland State University,Men,0,,,,,,,,,,,,,,
,,,,,,Cleveland State University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,0,Cleveland State University,Men,0,,,,,,,,,,,,,,
,,,,,,Cleveland State University,Men,,,,,,,,,,,,,,,
Two or More,1,0,0,,2,Cleveland State University,Men,0,,,,,,,,,,,,,,
,,,,,,Cleveland State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Cleveland State University,Men,0,,,,,,,,,,,,,,
,,,,,,Cleveland State University,Men,,,,,,,,,,,,,,,
White,0,0,0,,59,Cleveland State University,Men,0,,,,,,,,,,,,,,
,,,,,,Cleveland State University,Men,,,,,,,,,,,,,,,
Total,13,0,0,,72,Cleveland State University,Men,0,,,,,,,,,,,,,,
,,,,,,Coastal Carolina University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Coastal Carolina University,Men,,,0,,,,,,,,,,,,
,,,,,,Coastal Carolina University,Men,,,,,,,,,,,,,,,
Black,6,0,15,,1,Coastal Carolina University,Men,,,43,,,,,,,,,,,,
,,,,,,Coastal Carolina University,Men,,,,,,,,,,,,,,,
Hispanic,0,1,0,,3,Coastal Carolina University,Men,,,1,,,,,,,,,,,,
,,,,,,Coastal Carolina University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Coastal Carolina University,Men,,,0,,,,,,,,,,,,
,,,,,,Coastal Carolina University,Men,,,,,,,,,,,,,,,
N-R Alien,5,0,0,,24,Coastal Carolina University,Men,,,1,,,,,,,,,,,,
,,,,,,Coastal Carolina University,Men,,,,,,,,,,,,,,,
Two or More,2,0,0,,0,Coastal Carolina University,Men,,,5,,,,,,,,,,,,
,,,,,,Coastal Carolina University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Coastal Carolina University,Men,,,0,,,,,,,,,,,,
,,,,,,Coastal Carolina University,Men,,,,,,,,,,,,,,,
White,1,27,11,,10,Coastal Carolina University,Men,,,33,,,,,,,,,,,,
,,,,,,Coastal Carolina University,Men,,,,,,,,,,,,,,,
Total,14,28,26,,38,Coastal Carolina University,Men,,,84,,,,,,,,,,,,
,,,,,,Colgate University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Colgate University,Men,1,,,,,,,,,,,,,,
,,,,,,Colgate University,Men,,,,,,,,,,,,,,,
Black,1,0,0,,2,Colgate University,Men,5,,,,,,,,,,,,,,
,,,,,,Colgate University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,1,,4,Colgate University,Men,2,,,,,,,,,,,,,,
,,,,,,Colgate University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Colgate University,Men,0,,,,,,,,,,,,,,
,,,,,,Colgate University,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,0,,16,Colgate University,Men,0,,,,,,,,,,,,,,
,,,,,,Colgate University,Men,,,,,,,,,,,,,,,
Two or More,1,0,0,,1,Colgate University,Men,1,,,,,,,,,,,,,,
,,,,,,Colgate University,Men,,,,,,,,,,,,,,,
Unknown,1,0,0,,4,Colgate University,Men,0,,,,,,,,,,,,,,
,,,,,,Colgate University,Men,,,,,,,,,,,,,,,
White,7,0,7,,66,Colgate University,Men,42,,,,,,,,,,,,,,
,,,,,,Colgate University,Men,,,,,,,,,,,,,,,
Total,12,0,8,,93,Colgate University,Men,51,,,,,,,,,,,,,,
,,,,,,College of Charleston (South Carolina),Men,,,,,,,,,,,,,,,
Asian,0,0,0,,1,College of Charleston (South Carolina),Men,0,,,,,,,,,,,,,,
,,,,,,College of Charleston (South Carolina),Men,,,,,,,,,,,,,,,
Black,7,2,0,,1,College of Charleston (South Carolina),Men,0,,,,,,,,,,,,,,
,,,,,,College of Charleston (South Carolina),Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,2,College of Charleston (South Carolina),Men,0,,,,,,,,,,,,,,
,,,,,,College of Charleston (South Carolina),Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,College of Charleston (South Carolina),Men,0,,,,,,,,,,,,,,
,,,,,,College of Charleston (South Carolina),Men,,,,,,,,,,,,,,,
