Race,Men  Basketball,Men  Baseball,Men  CC/Track,Men  Football,Men  Other,School,Sport Category
Unknown,0,1,0,0,0,Delaware State University,Men
White,1,6,1,0,0,Delaware State University,Men
Total,11,19,21,55,0,Delaware State University,Men
Am. Ind./AN,0,0,0,1,0,Drake University,Men
Asian,0,0,1,1,2,Drake University,Men
Black,7,0,1,14,2,Drake University,Men
Hispanic,0,0,0,10,3,Drake University,Men
Nat. Haw./PI,0,0,0,0,0,Drake University,Men
US N-R,1,0,9,0,13,Drake University,Men
Two or More,0,0,0,9,1,Drake University,Men
Unknown,0,0,0,0,0,Drake University,Men
White,5,0,15,64,27,Drake University,Men
Total,13,0,26,99,48,Drake University,Men
Am. Ind./AN,0,0,0,0,0,Drexel University,Men
Asian,0,0,0,0,2,Drexel University,Men
Black,8,0,0,0,7,Drexel University,Men
Hispanic,0,0,0,0,0,Drexel University,Men
Nat. Haw./PI,0,0,0,0,0,Drexel University,Men
US N-R,2,0,0,0,53,Drexel University,Men
Two or More,0,0,0,0,4,Drexel University,Men
Unknown,0,0,0,0,1,Drexel University,Men
White,0,0,0,0,75,Drexel University,Men
Total,10,0,0,0,142,Drexel University,Men
Am. Ind./AN,0,0,0,0,0,Duke University,Men
Asian,0,0,0,0,5,Duke University,Men
Black,5,1,0,44,1,Duke University,Men
Hispanic,0,3,1,1,7,Duke University,Men
Nat. Haw./PI,0,0,0,0,0,Duke University,Men
US N-R,0,0,0,0,0,Duke University,Men
Two or More,4,1,0,5,2,Duke University,Men
Unknown,0,0,0,4,0,Duke University,Men
White,3,15,7,20,31,Duke University,Men
Total,12,20,8,74,46,Duke University,Men
Am. Ind./AN,1,0,0,1,0,Duquesne University,Men
Asian,0,0,1,1,0,Duquesne University,Men
Black,4,0,1,36,0,Duquesne University,Men
Hispanic,0,0,0,1,0,Duquesne University,Men
Nat. Haw./PI,0,0,0,0,0,Duquesne University,Men
US N-R,7,0,0,0,6,Duquesne University,Men
Two or More,0,0,3,7,0,Duquesne University,Men
Unknown,0,0,0,0,0,Duquesne University,Men
White,1,0,15,30,2,Duquesne University,Men
Total,13,0,20,76,8,Duquesne University,Men
Am. Ind./AN,0,0,0,0,0,East Carolina University,Men
Asian,0,0,0,0,0,East Carolina University,Men
Black,8,0,6,75,0,East Carolina University,Men
Hispanic,0,0,0,0,0,East Carolina University,Men
Nat. Haw./PI,0,0,0,0,0,East Carolina University,Men
US N-R,5,0,2,2,3,East Carolina University,Men
Two or More,0,2,1,8,0,East Carolina University,Men
Unknown,0,1,0,6,0,East Carolina University,Men
White,1,29,15,17,7,East Carolina University,Men
Total,14,32,24,108,10,East Carolina University,Men
Am. Ind./AN,0,0,0,0,0,East Tennessee State University,Men
Asian,0,0,0,0,0,East Tennessee State University,Men
Black,8,0,0,38,0,East Tennessee State University,Men
Hispanic,0,1,0,0,0,East Tennessee State University,Men
Nat. Haw./PI,0,0,0,0,0,East Tennessee State University,Men
US N-R,0,1,1,2,4,East Tennessee State University,Men
Two or More,1,0,0,3,0,East Tennessee State University,Men
Unknown,0,0,0,0,0,East Tennessee State University,Men
White,0,13,4,9,3,East Tennessee State University,Men
Total,9,15,5,52,7,East Tennessee State University,Men
Am. Ind./AN,0,0,0,1,0,Eastern Illinois University,Men
Asian,0,0,0,0,0,Eastern Illinois University,Men
Black,4,0,5,35,4,Eastern Illinois University,Men
Hispanic,2,3,7,9,0,Eastern Illinois University,Men
Nat. Haw./PI,0,0,0,0,0,Eastern Illinois University,Men
US N-R,2,1,0,3,7,Eastern Illinois University,Men
Two or More,1,2,0,1,0,Eastern Illinois University,Men
Unknown,3,3,0,13,1,Eastern Illinois University,Men
White,1,18,15,31,17,Eastern Illinois University,Men
Total,13,27,27,93,29,Eastern Illinois University,Men
Am. Ind./AN,0,0,0,2,0,Eastern Kentucky University,Men
Asian,0,0,0,0,1,Eastern Kentucky University,Men
Black,8,4,0,63,0,Eastern Kentucky University,Men
Hispanic,0,3,0,0,1,Eastern Kentucky University,Men
Nat. Haw./PI,0,0,0,0,0,Eastern Kentucky University,Men
US N-R,1,0,13,1,8,Eastern Kentucky University,Men
Two or More,2,3,0,5,0,Eastern Kentucky University,Men
Unknown,0,0,0,0,0,Eastern Kentucky University,Men
White,2,22,4,23,8,Eastern Kentucky University,Men
Total,13,32,17,94,18,Eastern Kentucky University,Men
Am. Ind./AN,0,0,0,1,0,Eastern Michigan University,Men
Asian,0,0,0,0,0,Eastern Michigan University,Men
Black,9,1,8,51,0,Eastern Michigan University,Men
Hispanic,0,1,1,7,0,Eastern Michigan University,Men
Nat. Haw./PI,0,0,0,1,0,Eastern Michigan University,Men
US N-R,2,0,10,8,5,Eastern Michigan University,Men
Two or More,0,1,3,4,0,Eastern Michigan University,Men
Unknown,0,0,0,7,0,Eastern Michigan University,Men
White,2,23,9,30,3,Eastern Michigan University,Men
Total,13,26,31,109,8,Eastern Michigan University,Men
Am. Ind./AN,0,0,0,1,0,Eastern Washington University,Men
Asian,0,0,0,0,0,Eastern Washington University,Men
Black,5,0,3,31,0,Eastern Washington University,Men
Hispanic,0,0,0,1,0,Eastern Washington University,Men
Nat. Haw./PI,0,0,0,6,0,Eastern Washington University,Men
US N-R,3,0,0,2,3,Eastern Washington University,Men
Two or More,1,0,3,11,0,Eastern Washington University,Men
Unknown,0,0,0,2,0,Eastern Washington University,Men
White,4,0,13,37,3,Eastern Washington University,Men
Total,13,0,19,91,6,Eastern Washington University,Men
Am. Ind./AN,0,0,0,0,0,Elon University,Men
Asian,0,0,0,0,0,Elon University,Men
Black,0,0,0,0,0,Elon University,Men
Hispanic,0,0,0,0,0,Elon University,Men
Nat. Haw./PI,0,0,0,0,0,Elon University,Men
US N-R,0,0,0,0,0,Elon University,Men
Two or More,0,0,0,0,0,Elon University,Men
Unknown,0,0,0,0,0,Elon University,Men
White,0,0,0,0,0,Elon University,Men
Total,0,0,0,0,0,Elon University,Men
Am. Ind./AN,0,1,0,0,0,Fairfield University,Men
Asian,0,0,0,0,0,Fairfield University,Men
Black,4,1,0,0,3,Fairfield University,Men
Hispanic,0,2,0,0,4,Fairfield University,Men
Nat. Haw./PI,0,0,0,0,0,Fairfield University,Men
US N-R,4,1,0,0,26,Fairfield University,Men
Two or More,0,0,0,0,0,Fairfield University,Men
Unknown,2,2,0,0,8,Fairfield University,Men
White,2,24,3,0,75,Fairfield University,Men
Total,12,31,3,0,116,Fairfield University,Men
Am. Ind./AN,1,1,0,0,0,Fairleigh Dickinson University Metropolitan Campus,Men
Asian,0,1,0,0,2,Fairleigh Dickinson University Metropolitan Campus,Men
Black,6,1,13,0,2,Fairleigh Dickinson University Metropolitan Campus,Men
Hispanic,0,7,4,0,5,Fairleigh Dickinson University Metropolitan Campus,Men
Nat. Haw./PI,0,0,0,0,0,Fairleigh Dickinson University Metropolitan Campus,Men
US N-R,1,0,4,0,26,Fairleigh Dickinson University Metropolitan Campus,Men
Two or More,3,1,0,0,1,Fairleigh Dickinson University Metropolitan Campus,Men
Unknown,0,1,1,0,3,Fairleigh Dickinson University Metropolitan Campus,Men
White,2,16,3,0,10,Fairleigh Dickinson University Metropolitan Campus,Men
Total,13,28,25,0,49,Fairleigh Dickinson University Metropolitan Campus,Men
Am. Ind./AN,0,0,0,0,0,Florida A&M University,Men
Asian,0,2,0,0,1,Florida A&M University,Men
Black,11,9,11,65,7,Florida A&M University,Men
Hispanic,0,2,1,3,0,Florida A&M University,Men
Nat. Haw./PI,0,0,0,0,0,Florida A&M University,Men
US N-R,0,0,0,0,0,Florida A&M University,Men
Two or More,1,3,1,1,0,Florida A&M University,Men
Unknown,0,0,0,0,0,Florida A&M University,Men
White,0,13,0,7,0,Florida A&M University,Men
Total,12,29,13,76,8,Florida A&M University,Men
Am. Ind./AN,0,0,0,0,0,Florida Atlantic University,Men
Asian,0,0,0,0,0,Florida Atlantic University,Men
Black,7,2,0,50,0,Florida Atlantic University,Men
Hispanic,1,4,0,1,3,Florida Atlantic University,Men
Nat. Haw./PI,0,0,0,0,0,Florida Atlantic University,Men
US N-R,1,2,0,1,23,Florida Atlantic University,Men
Two or More,3,1,0,8,1,Florida Atlantic University,Men
Unknown,0,0,0,1,1,Florida Atlantic University,Men
White,0,16,0,9,18,Florida Atlantic University,Men
Total,12,25,0,70,46,Florida Atlantic University,Men
Am. Ind./AN,0,0,0,0,0,Florida Gulf Coast University,Men
Asian,0,0,0,0,0,Florida Gulf Coast University,Men
Black,0,0,0,0,0,Florida Gulf Coast University,Men
Hispanic,0,0,0,0,0,Florida Gulf Coast University,Men
Nat. Haw./PI,0,0,0,0,0,Florida Gulf Coast University,Men
US N-R,0,0,0,0,0,Florida Gulf Coast University,Men
Two or More,0,0,0,0,0,Florida Gulf Coast University,Men
Unknown,0,0,0,0,0,Florida Gulf Coast University,Men
White,0,0,0,0,0,Florida Gulf Coast University,Men
Total,0,0,0,0,0,Florida Gulf Coast University,Men
Am. Ind./AN,0,0,0,0,0,Florida International University,Men
Asian,0,0,0,1,0,Florida International University,Men
Black,10,2,2,47,0,Florida International University,Men
Hispanic,2,9,0,4,1,Florida International University,Men
Nat. Haw./PI,0,0,0,0,0,Florida International University,Men
US N-R,1,1,1,1,17,Florida International University,Men
Two or More,0,1,1,7,1,Florida International University,Men
Unknown,0,0,0,1,0,Florida International University,Men
White,0,12,7,17,0,Florida International University,Men
Total,13,25,11,78,19,Florida International University,Men
Am. Ind./AN,0,1,0,0,0,Florida State University,Men
Asian,0,0,0,0,0,Florida State University,Men
Black,8,2,13,65,0,Florida State University,Men
Hispanic,0,3,2,1,2,Florida State University,Men
Nat. Haw./PI,0,0,0,0,0,Florida State University,Men
US N-R,2,0,2,1,21,Florida State University,Men
Two or More,1,4,1,4,0,Florida State University,Men
Unknown,0,1,0,0,0,Florida State University,Men
White,1,17,11,11,14,Florida State University,Men
Total,12,28,29,82,37,Florida State University,Men
Am. Ind./AN,0,0,0,0,0,Fordham University,Men
Asian,0,0,1,0,1,Fordham University,Men
Black,6,0,7,22,1,Fordham University,Men
Hispanic,2,3,4,3,1,Fordham University,Men
Nat. Haw./PI,0,0,0,0,0,Fordham University,Men
US N-R,4,1,1,1,13,Fordham University,Men
Two or More,0,0,1,4,1,Fordham University,Men
Unknown,0,0,0,0,0,Fordham University,Men
White,0,17,15,29,8,Fordham University,Men
Total,12,21,29,59,25,Fordham University,Men
Am. Ind./AN,0,0,0,0,0,Furman University,Men
Asian,0,0,0,0,1,Furman University,Men
Black,8,0,0,28,1,Furman University,Men
Hispanic,0,0,0,3,3,Furman University,Men
Nat. Haw./PI,0,0,0,0,0,Furman University,Men
US N-R,0,0,0,1,9,Furman University,Men
Two or More,0,0,0,9,1,Furman University,Men
Unknown,0,0,1,1,0,Furman University,Men
White,5,0,9,45,13,Furman University,Men
Total,13,0,10,87,28,Furman University,Men
Am. Ind./AN,0,0,0,0,0,Gardner-Webb University,Men
Asian,0,0,0,1,2,Gardner-Webb University,Men
Black,6,0,1,69,4,Gardner-Webb University,Men
Hispanic,0,4,1,0,8,Gardner-Webb University,Men
Nat. Haw./PI,0,0,0,0,0,Gardner-Webb University,Men
US N-R,1,0,0,0,0,Gardner-Webb University,Men
Two or More,2,4,3,4,3,Gardner-Webb University,Men
Unknown,0,0,3,7,16,Gardner-Webb University,Men
White,4,17,9,26,39,Gardner-Webb University,Men
Total,13,25,17,107,72,Gardner-Webb University,Men
Am. Ind./AN,0,0,0,0,1,George Mason University,Men
Asian,0,0,2,0,4,George Mason University,Men
Black,9,1,16,0,13,George Mason University,Men
Hispanic,0,2,3,0,15,George Mason University,Men
Nat. Haw./PI,0,0,0,0,1,George Mason University,Men
US N-R,3,2,0,0,16,George Mason University,Men
Two or More,0,0,5,0,6,George Mason University,Men
Unknown,1,0,1,0,6,George Mason University,Men
White,1,32,27,0,65,George Mason University,Men
Total,14,37,54,0,127,George Mason University,Men
Am. Ind./AN,0,0,0,0,0,George Washington University,Men
Asian,0,0,0,0,4,George Washington University,Men
Black,7,0,0,0,1,George Washington University,Men
Hispanic,0,4,1,0,1,George Washington University,Men
Nat. Haw./PI,0,0,0,0,0,George Washington University,Men
US N-R,4,0,1,0,22,George Washington University,Men
Two or More,1,1,0,0,0,George Washington University,Men
Unknown,1,1,1,0,0,George Washington University,Men
White,0,22,9,0,19,George Washington University,Men
Total,13,28,12,0,47,George Washington University,Men
Am. Ind./AN,0,0,0,0,0,Georgetown University,Men
Asian,0,0,1,0,2,Georgetown University,Men
Black,6,1,4,23,5,Georgetown University,Men
Hispanic,1,0,5,1,3,Georgetown University,Men
Nat. Haw./PI,0,0,0,3,0,Georgetown University,Men
US N-R,0,0,0,0,0,Georgetown University,Men
Two or More,0,1,1,16,3,Georgetown University,Men
Unknown,2,4,1,0,6,Georgetown University,Men
White,2,16,10,14,70,Georgetown University,Men
Total,11,22,22,57,89,Georgetown University,Men
Am. Ind./AN,0,0,0,0,1,Georgia Institute of Technology,Men
Asian,0,0,0,0,4,Georgia Institute of Technology,Men
Black,6,2,12,65,0,Georgia Institute of Technology,Men
Hispanic,0,1,1,4,3,Georgia Institute of Technology,Men
Nat. Haw./PI,0,0,0,1,0,Georgia Institute of Technology,Men
US N-R,7,1,0,2,14,Georgia Institute of Technology,Men
Two or More,2,2,2,3,1,Georgia Institute of Technology,Men
Unknown,0,0,0,0,0,Georgia Institute of Technology,Men
White,0,30,17,18,25,Georgia Institute of Technology,Men
Total,15,36,32,93,48,Georgia Institute of Technology,Men
Am. Ind./AN,0,1,0,0,0,Georgia Southern University,Men
Asian,0,0,0,0,0,Georgia Southern University,Men
Black,7,2,0,53,3,Georgia Southern University,Men
Hispanic,0,1,0,0,3,Georgia Southern University,Men
Nat. Haw./PI,0,0,0,0,0,Georgia Southern University,Men
US N-R,0,0,0,1,14,Georgia Southern University,Men
Two or More,0,3,0,4,0,Georgia Southern University,Men
Unknown,1,0,0,1,0,Georgia Southern University,Men
White,2,21,0,14,16,Georgia Southern University,Men
Total,10,28,0,73,36,Georgia Southern University,Men
Am. Ind./AN,0,0,0,0,0,Georgia State University,Men
Asian,0,0,0,0,0,Georgia State University,Men
Black,7,4,0,62,3,Georgia State University,Men
Hispanic,0,1,0,1,2,Georgia State University,Men
Nat. Haw./PI,0,0,0,1,0,Georgia State University,Men
US N-R,2,0,0,1,15,Georgia State University,Men
Two or More,1,1,0,4,1,Georgia State University,Men
Unknown,0,0,0,1,1,Georgia State University,Men
White,0,13,0,11,6,Georgia State University,Men
Total,10,19,0,81,28,Georgia State University,Men
Am. Ind./AN,0,0,0,0,0,Gonzaga University,Men
Asian,0,0,2,0,2,Gonzaga University,Men
Black,3,0,0,0,2,Gonzaga University,Men
Hispanic,0,5,3,0,2,Gonzaga University,Men
Nat. Haw./PI,0,0,0,0,0,Gonzaga University,Men
US N-R,4,0,1,0,14,Gonzaga University,Men
Two or More,1,2,0,0,0,Gonzaga University,Men
Unknown,0,1,1,0,0,Gonzaga University,Men
White,3,21,19,0,12,Gonzaga University,Men
Total,11,29,26,0,32,Gonzaga University,Men
Am. Ind./AN,0,0,0,0,0,Grambling State University,Men
Asian,0,0,0,0,0,Grambling State University,Men
Black,12,17,17,74,0,Grambling State University,Men
Hispanic,0,7,0,1,0,Grambling State University,Men
Nat. Haw./PI,0,0,0,0,0,Grambling State University,Men
US N-R,1,2,1,1,0,Grambling State University,Men
Two or More,0,3,1,6,0,Grambling State University,Men
Unknown,0,0,0,0,0,Grambling State University,Men
White,0,1,0,2,0,Grambling State University,Men
Total,13,30,19,84,0,Grambling State University,Men
Am. Ind./AN,0,0,0,0,0,Grand Canyon University,Men
Asian,1,0,0,0,1,Grand Canyon University,Men
Black,8,2,9,0,5,Grand Canyon University,Men
Hispanic,0,5,5,0,7,Grand Canyon University,Men
Nat. Haw./PI,0,0,1,0,0,Grand Canyon University,Men
US N-R,0,0,3,0,32,Grand Canyon University,Men
Two or More,2,1,3,0,2,Grand Canyon University,Men
Unknown,0,1,0,0,0,Grand Canyon University,Men
White,2,18,14,0,17,Grand Canyon University,Men
Total,13,27,35,0,64,Grand Canyon University,Men
Am. Ind./AN,0,0,0,1,0,Hampton University,Men
Asian,0,0,0,0,0,Hampton University,Men
Black,16,0,20,92,42,Hampton University,Men
Hispanic,0,0,0,0,0,Hampton University,Men
Nat. Haw./PI,0,0,0,0,0,Hampton University,Men
US N-R,0,0,3,0,9,Hampton University,Men
Two or More,0,0,0,0,0,Hampton University,Men
Unknown,1,0,0,0,0,Hampton University,Men
White,0,0,0,1,1,Hampton University,Men
Total,17,0,23,94,52,Hampton University,Men
Am. Ind./AN,0,0,0,0,0,Harvard University,Men
Asian,0,0,0,0,0,Harvard University,Men
Black,0,0,0,0,0,Harvard University,Men
Hispanic,0,0,0,0,0,Harvard University,Men
Nat. Haw./PI,0,0,0,0,0,Harvard University,Men
US N-R,0,0,0,0,0,Harvard University,Men
Two or More,0,0,0,0,0,Harvard University,Men
Unknown,0,0,0,0,0,Harvard University,Men
White,0,0,0,0,0,Harvard University,Men
Total,0,0,0,0,0,Harvard University,Men
Am. Ind./AN,0,0,0,0,0,High Point University,Men
Asian,0,0,0,0,0,High Point University,Men
Black,5,0,6,0,0,High Point University,Men
Hispanic,0,3,1,0,6,High Point University,Men
Nat. Haw./PI,0,0,0,0,0,High Point University,Men
US N-R,5,0,3,0,0,High Point University,Men
Two or More,0,0,0,0,2,High Point University,Men
Unknown,0,0,0,0,0,High Point University,Men
White,3,21,12,0,34,High Point University,Men
Total,13,24,22,0,42,High Point University,Men
Am. Ind./AN,0,0,0,0,0,Hofstra University,Men
Asian,0,1,0,0,1,Hofstra University,Men
Black,5,1,0,0,2,Hofstra University,Men
Hispanic,0,4,1,0,9,Hofstra University,Men
Nat. Haw./PI,0,0,0,0,0,Hofstra University,Men
US N-R,2,0,1,0,18,Hofstra University,Men
Two or More,1,1,0,0,1,Hofstra University,Men
Unknown,0,1,0,0,2,Hofstra University,Men
White,2,17,6,0,48,Hofstra University,Men
Total,10,25,8,0,81,Hofstra University,Men
Am. Ind./AN,0,0,0,0,0,Houston Christian University,Men
Asian,0,0,0,0,0,Houston Christian University,Men
Black,5,1,5,36,3,Houston Christian University,Men
Hispanic,1,5,2,8,6,Houston Christian University,Men
Nat. Haw./PI,0,1,0,1,0,Houston Christian University,Men
US N-R,0,0,6,0,14,Houston Christian University,Men
Two or More,2,1,2,5,1,Houston Christian University,Men
Unknown,0,1,0,1,0,Houston Christian University,Men
White,4,19,2,11,4,Houston Christian University,Men
Total,12,28,17,62,28,Houston Christian University,Men
Am. Ind./AN,0,0,0,0,0,Howard University,Men
Asian,0,0,1,2,1,Howard University,Men
Black,7,0,9,44,17,Howard University,Men
Hispanic,0,0,0,1,5,Howard University,Men
Nat. Haw./PI,0,0,0,0,0,Howard University,Men
US N-R,0,0,2,1,7,Howard University,Men
Two or More,0,0,0,5,7,Howard University,Men
Unknown,3,0,5,6,3,Howard University,Men
White,0,0,0,1,1,Howard University,Men
Total,10,0,17,60,41,Howard University,Men
Am. Ind./AN,0,0,0,0,0,Idaho State University,Men
Asian,0,0,0,1,0,Idaho State University,Men
Black,1,0,1,15,0,Idaho State University,Men
Hispanic,2,0,5,14,0,Idaho State University,Men
Nat. Haw./PI,0,0,0,9,0,Idaho State University,Men
US N-R,3,0,4,1,7,Idaho State University,Men
Two or More,2,0,1,8,0,Idaho State University,Men
Unknown,0,0,4,1,0,Idaho State University,Men
White,4,0,15,18,0,Idaho State University,Men
Total,12,0,30,67,7,Idaho State University,Men
Am. Ind./AN,0,0,0,0,0,Illinois State University,Men
Asian,0,2,1,0,1,Illinois State University,Men
Black,7,3,13,31,0,Illinois State University,Men
Hispanic,0,2,4,8,0,Illinois State University,Men
Nat. Haw./PI,0,0,0,0,0,Illinois State University,Men
US N-R,0,3,2,1,10,Illinois State University,Men
Two or More,0,1,2,7,0,Illinois State University,Men
Unknown,0,0,0,0,0,Illinois State University,Men
White,5,17,19,33,5,Illinois State University,Men
Total,12,28,41,80,16,Illinois State University,Men
Am. Ind./AN,0,0,2,0,0,Indiana State University,Men
Asian,0,0,0,0,0,Indiana State University,Men
Black,7,0,15,36,0,Indiana State University,Men
Hispanic,0,3,0,3,0,Indiana State University,Men
Nat. Haw./PI,0,0,0,0,0,Indiana State University,Men
US N-R,1,3,0,0,0,Indiana State University,Men
Two or More,0,0,7,15,0,Indiana State University,Men
Unknown,0,0,0,0,0,Indiana State University,Men
White,5,24,21,47,0,Indiana State University,Men
Total,13,30,45,101,0,Indiana State University,Men
Am. Ind./AN,0,1,0,1,1,Indiana University Bloomington,Men
Asian,0,0,0,0,4,Indiana University Bloomington,Men
Black,5,1,9,44,6,Indiana University Bloomington,Men
Hispanic,0,0,0,0,7,Indiana University Bloomington,Men
Nat. Haw./PI,0,1,0,0,0,Indiana University Bloomington,Men
US N-R,0,0,0,0,0,Indiana University Bloomington,Men
Two or More,0,0,0,0,0,Indiana University Bloomington,Men
Unknown,0,0,0,1,1,Indiana University Bloomington,Men
White,1,13,11,18,52,Indiana University Bloomington,Men
Total,6,16,20,64,71,Indiana University Bloomington,Men
Am. Ind./AN,0,0,0,0,0,Indiana University Indianapolis,Men
Asian,0,0,0,0,3,Indiana University Indianapolis,Men
Black,10,0,1,0,7,Indiana University Indianapolis,Men
Hispanic,0,0,0,0,6,Indiana University Indianapolis,Men
Nat. Haw./PI,0,0,0,0,0,Indiana University Indianapolis,Men
US N-R,2,0,0,0,9,Indiana University Indianapolis,Men
Two or More,0,0,0,0,0,Indiana University Indianapolis,Men
Unknown,0,0,0,0,1,Indiana University Indianapolis,Men
White,1,0,15,0,34,Indiana University Indianapolis,Men
Total,13,0,16,0,60,Indiana University Indianapolis,Men
Am. Ind./AN,0,0,0,0,0,Iona University,Men
Asian,0,0,0,0,1,Iona University,Men
Black,4,0,3,0,4,Iona University,Men
Hispanic,0,7,2,0,3,Iona University,Men
Nat. Haw./PI,0,0,0,0,0,Iona University,Men
US N-R,5,0,12,0,16,Iona University,Men
Two or More,1,0,0,0,2,Iona University,Men
Unknown,1,1,0,0,1,Iona University,Men
White,1,17,6,0,36,Iona University,Men
Total,12,25,23,0,63,Iona University,Men
Am. Ind./AN,0,0,0,0,0,Iowa State University,Men
Asian,0,0,0,0,0,Iowa State University,Men
Black,5,0,2,35,1,Iowa State University,Men
Hispanic,0,0,1,4,2,Iowa State University,Men
Nat. Haw./PI,0,0,0,0,1,Iowa State University,Men
US N-R,1,0,7,1,6,Iowa State University,Men
Two or More,4,0,2,12,1,Iowa State University,Men
Unknown,0,0,0,5,2,Iowa State University,Men
White,3,0,19,33,20,Iowa State University,Men
Total,13,0,31,90,33,Iowa State University,Men
Am. Ind./AN,1,0,0,2,0,Jackson State University,Men
Asian,0,0,0,0,0,Jackson State University,Men
Black,10,14,21,64,1,Jackson State University,Men
Hispanic,0,0,0,0,0,Jackson State University,Men
Nat. Haw./PI,0,0,0,1,0,Jackson State University,Men
US N-R,0,0,0,0,1,Jackson State University,Men
Two or More,0,1,0,0,0,Jackson State University,Men
Unknown,0,5,0,0,0,Jackson State University,Men
White,1,6,0,5,4,Jackson State University,Men
Total,12,26,21,72,6,Jackson State University,Men
Am. Ind./AN,0,0,0,0,0,Jacksonville State University,Men
Asian,0,0,0,0,0,Jacksonville State University,Men
Black,11,2,0,72,0,Jacksonville State University,Men
Hispanic,0,0,0,0,0,Jacksonville State University,Men
Nat. Haw./PI,0,0,0,0,0,Jacksonville State University,Men
US N-R,1,0,2,2,20,Jacksonville State University,Men
Two or More,0,0,0,0,0,Jacksonville State University,Men
Unknown,0,0,0,0,0,Jacksonville State University,Men
White,1,22,9,19,8,Jacksonville State University,Men
Total,13,24,11,93,28,Jacksonville State University,Men
Am. Ind./AN,0,0,0,0,0,Jacksonville University,Men
Asian,0,0,0,0,0,Jacksonville University,Men
Black,6,1,0,0,5,Jacksonville University,Men
Hispanic,0,1,0,0,1,Jacksonville University,Men
Nat. Haw./PI,0,0,0,0,0,Jacksonville University,Men
US N-R,0,0,0,0,0,Jacksonville University,Men
Two or More,2,0,0,0,5,Jacksonville University,Men
Unknown,1,1,0,0,3,Jacksonville University,Men
White,0,24,0,0,40,Jacksonville University,Men
Total,9,27,0,0,54,Jacksonville University,Men
Am. Ind./AN,0,0,0,0,0,James Madison University,Men
Asian,0,0,0,0,2,James Madison University,Men
Black,7,0,0,41,1,James Madison University,Men
Hispanic,1,2,0,2,0,James Madison University,Men
Nat. Haw./PI,0,0,0,1,0,James Madison University,Men
US N-R,0,0,0,0,16,James Madison University,Men
Two or More,1,0,0,2,0,James Madison University,Men
Unknown,0,1,0,1,0,James Madison University,Men
White,1,24,0,15,5,James Madison University,Men
Total,10,27,0,62,24,James Madison University,Men
Am. Ind./AN,0,0,0,0,0,Kansas State University,Men
Asian,0,0,0,0,0,Kansas State University,Men
Black,9,1,5,28,0,Kansas State University,Men
Hispanic,0,1,1,5,1,Kansas State University,Men
Nat. Haw./PI,0,0,0,2,0,Kansas State University,Men
US N-R,1,1,6,0,3,Kansas State University,Men
Two or More,0,0,0,11,0,Kansas State University,Men
Unknown,0,0,0,0,0,Kansas State University,Men
White,0,25,10,29,4,Kansas State University,Men
Total,10,28,22,75,8,Kansas State University,Men
Am. Ind./AN,0,0,0,0,0,Kennesaw State University,Men
Asian,0,0,0,0,0,Kennesaw State University,Men
Black,11,6,14,56,0,Kennesaw State University,Men
Hispanic,1,0,4,0,1,Kennesaw State University,Men
Nat. Haw./PI,0,0,0,0,0,Kennesaw State University,Men
US N-R,0,0,2,0,10,Kennesaw State University,Men
Two or More,0,1,3,4,0,Kennesaw State University,Men
Unknown,0,0,0,1,1,Kennesaw State University,Men
White,1,25,12,15,5,Kennesaw State University,Men
Total,13,32,35,76,17,Kennesaw State University,Men
Am. Ind./AN,0,0,1,0,0,Kent State University,Men
Asian,0,0,0,0,0,Kent State University,Men
Black,9,0,11,40,3,Kent State University,Men
Hispanic,0,0,1,0,0,Kent State University,Men
Nat. Haw./PI,0,0,0,0,0,Kent State University,Men
US N-R,0,0,1,2,5,Kent State University,Men
Two or More,2,1,4,12,3,Kent State University,Men
Unknown,1,1,1,1,0,Kent State University,Men
White,1,30,22,30,29,Kent State University,Men
Total,13,32,41,85,40,Kent State University,Men
Am. Ind./AN,0,0,0,0,0,La Salle University,Men
Asian,0,0,0,0,0,La Salle University,Men
Black,5,0,1,0,2,La Salle University,Men
Hispanic,3,0,1,0,6,La Salle University,Men
Nat. Haw./PI,0,0,0,0,0,La Salle University,Men
US N-R,0,0,3,0,0,La Salle University,Men
Two or More,0,0,0,0,6,La Salle University,Men
Unknown,0,0,0,0,0,La Salle University,Men
White,5,0,16,0,57,La Salle University,Men
Total,13,0,21,0,71,La Salle University,Men
Am. Ind./AN,0,0,0,0,0,Lafayette College,Men
Asian,0,0,0,0,0,Lafayette College,Men
Black,5,0,0,28,3,Lafayette College,Men
Hispanic,1,0,0,5,4,Lafayette College,Men
Nat. Haw./PI,0,0,0,0,0,Lafayette College,Men
US N-R,2,0,0,0,6,Lafayette College,Men
Two or More,1,0,0,3,0,Lafayette College,Men
Unknown,0,0,0,3,0,Lafayette College,Men
White,4,5,0,26,21,Lafayette College,Men
Total,13,5,0,65,34,Lafayette College,Men
Am. Ind./AN,0,0,0,0,0,Lamar University,Men
Asian,0,0,0,0,1,Lamar University,Men
Black,9,2,13,81,0,Lamar University,Men
Hispanic,0,8,8,13,0,Lamar University,Men
Nat. Haw./PI,0,0,0,3,0,Lamar University,Men
US N-R,2,3,5,2,17,Lamar University,Men
Two or More,3,3,3,11,0,Lamar University,Men
Unknown,0,0,1,2,0,Lamar University,Men
White,1,32,10,32,1,Lamar University,Men
Total,15,48,40,144,19,Lamar University,Men
